Description,Eligibility,FO Reference,GO ID,Primary Category,Secondary Category,Title
"This round of the Safer Communities Fund gives schools and pre-schools, places of religious worship, community organisations and local councils grants of up to $500,000 for crime prevention initiatives aimed at reducing crime, violence, anti-social behaviour and/or other security risks driven by racial and/or religious intolerance. 
 There is approximately $10 million available. 
 Project activities can include the installation of security infrastructure such as:  
 
 fixed or mobile CCTV cameras 
 security lighting 
 fencing and gates 
 bollards 
 external blast walls and windows 
 security and alarm systems 
 public address systems 
 intercoms and swipe access 
 security doors. 
 
 For registered schools and preschools, project activities can also include employing or hiring security guards, licensed by the relevant state or territory agency.  
 Grants available are between $10,000 and $500,000. The maximum grant amount per location or school campus is $250,000.  
 The grant amount will be up to 100% of eligible project costs.  
 Projects must be completed by 31 March 2024.","To be eligible you must: 
 
 have an Australian business number (ABN) 
 have not previously received a Safer Communities Fund Infrastructure or a Safer Communities Fund Northern Territory Infrastructure grant in earlier rounds, unless: 
 
 you are a school or pre-school applying for funding for security guards only, or 
 you are applying for infrastructure at a different project location/campus to your previous grant. 
 
 
 You must also be one of the following entities: 
 
 an incorporated not for profit organisation 
 an Australian local government agency or body as defined in section 14 
 an Australian State/Territory Government education agency or body 
 a registered school or pre-school that is a legal entity (with its own unique ABN) and that can enter into a grant agreement in its own right 
 a legal entity applying on behalf of a registered school or pre-school. 
",,GO4590,151001 - Community Safety,,Safer Communities Fund – Round 6 – Infrastructure Grants
"The Safer Communities Fund Round 4 provides schools and pre-schools, community organisations and local councils with grants of between $50,000 and $1.5 million for security infrastructure and engagement activities to protect children in the community who are at risk of attack, harassment or violence stemming from racial or religious intolerance. 
 Project activities can include: 
 
 Infrastructure activities such as installing: 
 
 fixed or mobile CCTV cameras 
 security lighting 
 fencing 
 bollards 
 security and alarm systems 
 public address systems 
 intercoms and swipe access 
 
 Employing or hiring security guards, licensed by the relevant state or territory agency, for schools and preschools. 
 Engagement activities such as: 
 
 social cohesion projects that reduce the chance of children being attacked or harassed due to racial or religious intolerance 
 community and youth engagement forums targeted at people at risk of offending to reduce security risks stemming from racial or religious intolerance 
 training for staff at organisations who work with children with the aim of reducing racial or religious intolerance 
 other preventative activities that can demonstrate a reduction in the chance of children being attacked or harassed due to racial or religious intolerance. 
 
 
 Projects must be completed by 31 March 2021.","To be eligible you must: have an Australian Business Number (ABN) and be one of the following entities: an incorporated not for profit organisation an Australian local government agency or body as defined in appendix A of the grant opportunity guidelines an Australian State/Territory Government agency or body a registered school or pre-school that is a legal entity (with its own unique ABN) and that can enter into a grant agreement in its own right a legal entity applying on behalf of a registered school or pre-school. If you are a school, you will need to determine your legal status before applying for a grant. Only schools who are legal entities can apply for a grant themselves. If your school is not a legal entity you will need to have your legal entity such as a state education department, catholic diocese or education authority, apply for a grant on your behalf. If you are a public school, please check your legal status with your education authority. Additional eligibility requirements may apply.",,GO2413,"231006 - Child Health, Development and Wellbeing",,Safer Communities Fund Round 4
"
 
 
 
 The objectives of the Visions of Australia Program are to: 
 - increase access for Australian audiences to exhibitions of quality Australian arts and cultural material, with a particular focus on regional and remote Australia 
 - encourage partnerships between organisations such as museums and galleries, particularly collaboration across the collections sector, to form curatorial partnerships and where appropriate, access to mentoring and skills transfer opportunities. 
   
 There is no funding cap for individual applications. 
 Funding is delivered through two streams: development or touring, supporting costs such as research, design, production, transport, installation and personnel. 
   
 The Program delivers two funding rounds each year usually closing in March and October. The Minister for the Arts (or his delegate) approves funding under the Program Guidelines. 
 Funding is available through annual or multiyear funding agreements, subject to available funds. 
 
 
 
","To be eligible you must: • be an Australian incorporated organisation • have as your principal purpose the arts and/or cultural heritage (usually defined in the organisation’s Constitution or Articles of Association, and reflected in the Annual Report and Business Plans) • have an active Australian Business Number (ABN) • be registered for the Goods and Services Tax (GST), if required by the Australian Tax Office • not have any outstanding reports, acquittals or serious breaches relating to any Commonwealth funding. Unincorporated groups with an arts or cultural heritage purpose may seek funding but must be auspiced by an organisation that meets the above criteria and applies on their behalf. Individual business units and entities of local government or state government authorities with an arts or cultural heritage purpose (such as art galleries, museums or performing arts centres) are eligible to apply.",VAR11-2020,GO4297,121005 - Museums and Galleries,,Visions of Australia - Round 11
"The objectives of the Grants in Aid Program is to support an efficient and high-performing public sector by providing assistance to non-profit making organisations for the provision of support on services to benefit a wide section of the community, directly or indirectly, in a demonstrable way. For example, by providing direct services to groups with special needs or support for activities, which the Government would otherwise perform at greater expense.    
   
 Grants in Aid recipients have general objectives acceptable to the AustralianGovernment and are representative of the parties concerned.  Grant in aid recipients support an efficient and high-performing public sector through their contributions to public policy debate. Grant in Aid recipients also provide information to the Australian Government in raising awareness and prompting improvements in public sector governance. 
   
 Recipients also have appropriate expertise and are able to provide some input (either monetary or non-monetary) to the outcome they provide.   
   
 The recipients of Grants in Aid have been determined over a number of years, under the authority of government. Access to Grants in Aid is limited to the identified recipients and is dependent upon their ongoing compliance and adherence to all eligibility criteria and reporting requirements. 
   
 The Grants in Aid Program, administered by the Department of Finance, is a continuous non-competitive targeted grant program. Entities that are not already participating in the current process cannot apply for funding, as funding for the program is closed to new applicants. 
   
 The Grant in Aid program allows grant recipients to continue the development of their organisations, in the fields of humanities research, public policy, science and the promotion of animal welfare. 
  ","Eligible applications will be considered through a restricted non-competitive grant process, which includes the provision of satisfactory responses to the grant application questions. Only applications from the following will be considered: 
   
 
 Chifley Research Centre Limited 
 Menzies Research Centre Limited 
 Page Research Centre Limited 
 Green Institute Limited 
 Australian Institute of Policy and Science 
 RSPCA Australia Inc 
 Royal Humane Society of Australasia Inc. 
 
   
  ",,GO4568,121002 - Cultural Heritage,,Grants in Aid
"The Recovery for Regional Tourism program (the Program) will run over two financial years from 2020-21 to 2021-22. The Australian Government announced the Program on 27 September 2020, and it forms part of the COVID-19 $1 billion Relief and Recovery Fund, which provides assistance to sectors, regions and communities disproportionately affected by the economic impacts of COVID-19. 
 The Program will invest up to $50 million, with opportunities for co-contributions potentially boosting the total value of assistance delivered by the Program. 
 Nine regions are eligible for assistance under the Program. The methodology for determining eligible regions and the funding allocation is based on methodology developed by Tourism Research Australia. This methodology considers the gross value added by international visitors and tourism employment within the region. Section 3 of these Guidelines detail the eligible regions and the Australian Government funding allocation for each region.","Eligible applicants are either: 
 
 A RTO (or in the case of NSW, a Destination Network) from one of the nine regions. 
 A state tourism organisation (STO) on behalf of one of the nine regions. 
 
 The eligible locations for the Program are the nine regions identified in Section 4.1 of the guidelines. Activities and projects must be delivered within the region, except for instances where the projects or activities are directed at providing a benefit to the region. 
 To be eligible your projects or activities must help to create and retain jobs by driving visitation, spurring demand and improving product diversity to attract domestic visitors into your region. Your project or activities must drive interstate tourism into your region. 
 Eligible activities may include both demand-generating (attracting visitors to your region) and supply-side (improving the capacity of your region to meet the needs of domestic visitors) projects.",,GO4669,181000 - Disaster Relief,341000 - Trade and Tourism,Recovery for Regional Tourism program
"The grant opportunities available under these guidelines focus on ensuring continued support for digital mental health services identified in the 2021-22 Budget and implementation of the Government’s mental health reform agenda. 
 To view the grant opportunity documents, please select the red ""GO Documents"" button on the left hand side.",To be eligible you must a listed organisation in “Section 4 – Eligibility Criteria” of the Grant Opportunity Guidelines.,,GO5071,231015 - Mental Health,,Mental Health and Suicide Prevention Digital Mental Health - Continued Support
"CRC-P grants support short term industry-led collaborations to develop important new technologies, products and services that deliver tangible outcomes. 
 To support the overall aims of the CRC Program, CRC-Ps must: 
 
 be a short term, industry-identified and industry-led collaborative research project to develop a product, service or process that will solve problems for industry and deliver tangible outcomes 
 benefit SMEs and increase their capacity to grow and adapt in changing markets 
 include education and training activities. 
 
 The minimum grant amount is $100,000. 
 The maximum grant amount is $3 million. 
 The grant amount will be up to 50 per cent of eligible grant project value. 
 The maximum grant period is 3 years. 
 You can use funding to support costs directly related to the project, including for: 
 
 new research 
 proof of concept activities 
 pre-commercialisation of research outcomes 
 industry-focused education and training activities, such as internships and secondments between industry entities and research organisations. 
 conferences, workshops, symposia related to the joint research 
 related information sharing and communication initiatives related to the joint research. 
 
 Other costs may also be eligible for grant funding. 
 You cannot use funding for the same activities or project previously or currently financed through any other funding scheme.","Collaborations from all industry sectors, research disciplines and community sectors can apply. To be eligible as a lead applicant you must: have an Australian Business Number (ABN) and be an industry entity where the majority of your revenue is not derived from government sources and you are capable of commercialising research. Each CRC-P must include and maintain amongst its project partners at least: two Australian industry entities including at least one SME and one Australian research organisation. You are not eligible to apply as the lead applicant if you are: an individual, partnership or trust a research organisation a Commonwealth, State, Territory or local government agency or body (including government business enterprises) an organisation that derives the majority of its revenues from any government an entity whose primary function is administrative or to provide support services to a CRC-P. For more information on eligibility please refer to the grant opportunity guidelines.",,GO1436,261001 - Industry Innovation,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research",Cooperative Research Centres Projects (CRC-P) Grants
"Australian Heritage Grants will support projects that strengthen recognition, management, conservation and public engagement on/of places on Australia’s National Heritage List. A list of Australia’s National Heritage List places is included in appendix B of the grant opportunity guidelines. 
 Any place added to the National Heritage List prior to the program closing date will be considered a listed place and be eligible under the program. 
 
 The minimum grant amount is $25,000 
 The maximum grant amount is $400,000 
","To be eligible you must: be a site and land owner of one of the listed places, or have the support of the site and land owner of one of the listed places have an Australian Business Number (ABN), unless you are not entitled to an ABN (information regarding ABN entitlement is available on the  ATO website ) and be one of the following entities: a State/Territory agency or body a local government agency or body Commonwealth corporate entity an entity incorporated in Australia (includes registered land councils) a partnership an individual. If you are applying as an individual you must be 18 years of age or older. For more information on eligibility you should refer to the grant opportunity guidelines.",,GO1927,211004 - Heritage,,Australian Heritage Grants 2018-19 Grant Opportunity
"The Australian Government is inviting applications through a targeted competitive process to apply for grant funding under the Grants-in-Aid (GIA) program.  
 The GIA program aims to support the role of national ex-service organisations (ESOs) to provide coordinating and representational support for the Australian veteran and Defence community. 
 The program is open to national ESOs and provides funding to encourage cooperation and communication between the ex-service community, ESOs and the Australian Government. Funding for national ESOs aims to encourage the national advancement of ESOs’ objectives. 
 The grant opportunity will fund discrete projects or activities that address a specific problem or issue and will achieve a clear national benefit to the Australian ex-service and Defence community. 
 Grant applications will be assessed against how they will meet one or more of the program outcomes and whether the funding will support discrete projects or activities including how the project assists national ESOs to: 
 
 support their branches, sub-branches and affiliated organisations in performing compensation or wellbeing advocacy or other welfare work 
 advance the objectives of all ESOs more generally 
 improve co-operation and communication between national bodies, branches, sub branches and affiliated organisations on repatriation and military compensation matters encourage co-operation and communication between the ex-service community, ESOs and the Australian Government. 
","ONLY national ESOs are eligible to apply. 
 For the purposes of Grants-in-Aid grants, a national ESO is considered to be an organisation: 
 
 which has direct links to the ex-service community 
 whose membership consists primarily of veterans, past and present members of the Australian Defence Force (ADF) and/or their dependants and has branches of offices in a majority of states and territories 
 which is established primarily to represent the interests of members, to provide pensions, advocacy and/or welfare assistance to veterans, past and present members of the ADF and/or their dependants 
 which does not operate as a business or charge any fee for acting on behalf of the veterans, past and present members of the ADF and/or their dependants in the provision of claims or welfare services 
 which has objectives that aim to benefit the welfare of its members nationally 
 which is incorporated in the states and territories in which it is established and/or acts, and is registered with the Australian Charities and Not-for-Profits Commission. 
",,GO4737,361003 - Veterans,,Grants-in-Aid
"The Australian Research Council (ARC) on behalf of the Office of National Intelligence (ONI) is conducting a grant opportunity for the National Intelligence and Security Discovery Research Grants (NISDRG). 
 The NISDRG supports excellent research that deepens understanding of emerging science and technology and addresses intelligence and national security threats. 
 The NISDRG provides support to research that aligns with the priority research areas identified by the Australian Government. These research areas are outlined in the Intelligence Challenges developed under the broad National Security Science and Technology Priorities. The current Intelligence Challenges are: 
 
 Covert collection challenges 
 Space-based challenges 
 Identity management challenges 
 Emerging biological and material science exploitation challenges 
 Cyber security, protective security and offensive cyber challenges 
 Human behaviour and influence challenges 
 Data-driven and real-time analytical challenges 
 Situation awareness and multi-source assessment challenges 
 
 The objectives of the NISDRG opportunity are to: 
 
 support excellent research in areas identified in the Intelligence Challenges and National Security Challenges; 
 build Australia’s research capacity and capability in these areas by supporting researchers, fostering research trainees, and contribution to a greater body of open source research; 
 enhance collaboration in the research, science and technology community that supports Australia’s National Intelligence and Security Communities; and  
 support systematic and coordinated engagement between the research, science and technology community and Australia’s National Intelligence and Security Communities. 
","An application may only be submitted through the Research Office of an Eligible Organisation listed in the relevant grant guidelines. 
 All individuals named in an application must satisfy the eligibility criteria for the role they are to perform as at the Grant Commencement Date and for the duration of the Project. 
 Roles that named participants may be nominated for under NI21 are: 
 
 Chief Investigator 
 Partner Investigator 
 
 Applications must nominate the following named participants to be eligible: 
 
 At least one eligible CI from the Administering Organisation 
 
 An application may also include additional Other Eligible Organisations and Other Organisations. 
 All organisations participating in the application must be Australian organisations. 
 An Other Organisation named on an application must have a Partner Investigator (PI) listed. 
 Chief Investigators and Partner Investigators must be Australian citizens, Australian permanent residents or holders of a New Zealand Special Category Visa.",NI21R1,GO4476,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",National Intelligence and Security Discovery Research Grants (Intelligence Challenges)
"On 15 May 2020, the Australian Government announced a $48.1 million package in 2020-21 to support the mental health and wellbeing of Australians as part of the National Mental Health and Wellbeing Pandemic Response Plan.",As this is a closed non-competitive grant opportunity only the organisations listed at Section 3.1 in the Grant Opportunity Guidelines is eligible to apply.,,GO4199,231015 - Mental Health,,GO4199 - National Mental Health and Wellbeing Pandemic Response Plan
"The Australian Government is inviting applications through an open competitive process to apply for grant funding during the 2019-20 financial year under the  Saluting Their Service  Commemorative Grants Program (the program). 
 The program aims to preserve Australia’s wartime heritage and involve people around the nation in a wide range of projects and activities that highlight the service and sacrifice of Australia’s service personnel in wars, conflicts and peace operations. Projects and activities should promote appreciation and understanding of the experiences of service and the roles that those who served have played in shaping the nation. 
 There are two categories of grants available under the program: 
 1.      Community Grants (STS-CG) 
 Grants to a maximum of $10,000 are available for local, community-based projects and activities. 
 2.      Major Grants (STS-MG) 
 Grants between $10,001 and $150,000 are available for major commemorative projects and activities that are significant from a national, state, territory and/or regional perspective. 
 For the intended outcomes of the grant opportunity, refer to the Grant Opportunity Guidelines. 
 If your project involves restoring/changing a memorial, there may be heritage considerations. Information is available from your state or territory government heritage body, or at the  Department of Veterans’ Affairs website .","To be eligible you must be one of the following entity types: Cooperative Company Corporate State or Territory Entity  Incorporated Association Indigenous Corporation Local Government Non-corporate State or Territory Entity  Non-Corporate State or Territory Statutory Authority Statutory Entity Trustee on behalf of a Trust Unincorporated Association – grant activities up to $10,000 only. Applications from consortia are acceptable, as long as you have a lead applicant who is solely accountable to the Commonwealth for the delivery of grant activities and is an eligible entity as per the list above.  ",,GO3172,361001 - Commemorative,,Saluting Their Service Commemorative Grants Program
"IRIISS allocates funds for infrastructure support to independent medical research institutes managing NHMRC research funds. 
 IRIISS aims to develop and maintain infrastructure to support high quality health and medical research by contributing to infrastructure costs associated with NHMRC competitively awarded research grants managed by independent medical research institutes.",IRIISS grants are only awarded to NHMRC-approved Administering Institutions that are independent medical research institutes.,,GO5002,231013 - Medical Research,,2021 Independent Research Institutes Infrastructure Support Scheme (IRIISS)
"The purpose of the grant is to support the delivery of the Fédération Internationale de Football Association (FIFA) Women’s World Cup 2023. The FIFA Women’s World Cup is staged every four years. 
 The grant opportunity is for a total of $2.36 million in 2020-21. The FIFA Women’s World Cup 2023 – Event Delivery grant opportunity contributes to the achievement of the Sport and Recreation Program, which aims to make Australia the world’s most active sporting nation, known for its integrity, sporting success and world leading sports industry. 
 Please select the red ""Go Documents"" button on the left hand side to the view the grant opportunity documents.","To be eligible to apply you must be the below organisation: 
 
 Footbal Australia Limited (ABN: 28 106 478 068) 
",,GO4809,311000 - Recreation and Sport,,"FIFA Women's World Cup 2023 – Event Delivery"
"The MRFF Frontier Health and Medical Research Program will provide grants to a total of $570 million over ten years to establish this landmark initiative. For the Stage One - Research Plan grant opportunity, $1 million in funding was provided to 10 multi-disciplinary teams including research and industry partners to work on novel and transformative ideas that will produce practical benefits to Australians and also globally. 
 The teams had 12 months to develop a detailed research plan to outline the activities, methods and partnerships required to transform the idea from concept to implementation in the health system. 
 Australia has the potential to lead markets and create new ones by applying cutting-edge science and technologies to new, first-in-world applications that improve human health. This program encourages Australia's best and brightest researchers to create talented and ambitious multi-disciplinary teams. 
 The program operates using a two-stage competitive process: 
 
 Stage One funded the development of detailed research plans for cutting-edge research projects. 
 Stage Two will fund the implementation of selected research projects. 
 
 Stage One 
 The  Stage One grant opportunity  funded 10 projects for one year to develop a detailed research plan. Applications for Stage One have closed. 
 Stage Two 
 Stage Two projects will enable selected research plans developed under Stage One to receive investment to develop their ideas. These ideas will revolutionise healthcare with new technological advances or approaches. Stage Two grants will vary depending on applicant requirements, but they would typically be in the range of $10 to $20 million per annum for 5 years.",To be eligible you must: have an Australian business number (ABN) be incorporated in Australia have been awarded a grant under the Frontier Health and Medical Research Program – Stage One Research Plan and have submitted a Research Plan by 30 June 2020. You must also be one of the following eligible bodies: a medical research institute a university a corporate Commonwealth entity a corporation (including businesses and not for profits) You are not eligible to apply if you are: not an existing grantee under the Frontier Health and Medical Research Program - Stage One,MRFF Frontier Health Stage 2,GO4096,231013 - Medical Research,381003 - Academic Medical Research,Medical Research Future Fund (MRFF) Frontier Health and Medical Research Program Stage Two
"This grant opportunity is part of the Drug and Alcohol Program and aims to support organisations to deliver evidence based treatment services for AOD misuse. 
 AOD Peak Organisations provide a range of programs and services to the AOD sector, including workforce development, data management, governance and support, research and evaluation, sector representation and advocacy, contributing to health policy development. Through their program/services, AOD Peak Organisations provide representation and support to the alcohol and other drug treatment and harm reduction sector, to enable AOD providers to deliver high quality evidence-based AOD treatment services.",All eligible organisations are listed in section 4.1 of the grant opportunity guidelines.,,GO2072,231012 - Health Promotion and Prevention Programs,,Alcohol and Other Drugs Peak Organisations
"This grant opportunity enables organisations to submit proposals that respond to current health care needs of Aboriginal and Torres Strait Islander people. Applications that more appropriately fit within other advertised or planned grant opportunities will not be accepted as part of this grant opportunity. 
 Activities applied for under this round must align with one or more of the themes identified in Section 5.1 ‘Eligible Grant Activities’ of the Grant Opportunity Guidelines, and must be for activities that target improved health outcomes  specifically and primarily  for Aboriginal and/or Torres Strait Islander individuals or communities. 
 The department encourages applications that outline evidence-based, innovative projects that will contribute to the outcomes of the Indigenous Australians’ Health Programme (IAHP). 
 Three rounds of funding will be offered at six monthly intervals across 2019-20 and 2020-21. Timeframes for the rounds are detailed at Section 7.3 of the Grant Opportunity Guidelines. 
 It is anticipated that most grants will be between $50,000 - $750,000 (GST exclusive) over the three years. Funding allocations will depend on the scope, demonstrated need, impact, complexity and potential reach of the proposed project.","This is an open competitive Grant Opportunity, however detailed eligibility criteria are listed under section 4.1 of the attached Grant Opportunity Guidelines.",,GO3133,251005 - Indigenous Health,,"Indigenous Australians' Health Programme - Emerging Priorities Round"
"The Australian Government is inviting applications via a closed non-competitive process to deliver activities under the Support for NDIS Providers Program through the NDIS Quality and Safeguards Commission.  
 The Support for NDIS Providers Program is a new four year grants program of up to $17.6 million from 2018-19 to 2021-22, for a national information and education program to develop and grow a quality market in the NDIS, emphasising compliance obligations through the lens of the people with disability accessing NDIS supports and services.   
 As people with intellectual disability make up over 27 percent of NDIS participants, a tailored approach to engaging with people with intellectual disability is necessary given the diverse communication requirements.   
 Examining the two jurisdictions where the NDIS Commission is currently operating will benefit existing participants with intellectual disability in those locations, and also assist the NDIS Commission in considering the most effective approach to engaging NDIS participants with intellectual disability nationally. It is anticipated that people with intellectual disability will be involved in the delivery of this initiative.","To be eligible to apply, you must be an invited organisation",,GO2404,171004 - Services for People with Disabilities,,Support for NDIS Providers Program
"The Small and Medium Enterprises (SME) grant opportunity supports SME Export Hubs in the development of local, regional and Indigenous brands through business collaborations in the identified areas of competitive strength. 
 This grant opportunity complements existing initiatives, such as those delivered through the  Export Finance Australia  (former Efic), the Australian Trade and Investment Commission -  Austrade , the  Entrepreneurs’ Programme , and the  Industry Growth Centres  Initiative. 
 SMEs may be local, regional, remote and/or Indigenous.","To be eligible you must: have an Australian Business Number (ABN) and be one of the following entities: an incorporated not-for-profit organisation such as: an incorporated association a company limited by guarantee a non-distributing co-operative an Indigenous not-for-profit corporation a not-for-profit incorporated trustee on behalf of a trust an Australian local government agency or body an Australian state/territory government agency or body Regional Development Australia (RDA)  committee. If you are applying as a not-for-profit organisation you must demonstrate your not-for-profit status through one of the following: current Australian Charities and Not-for-profits Commission’s (ACNC) registration state or territory incorporated association status constitutional documents and/or Articles of Association that demonstrate the not-for-profit character of your organisation. To be eligible your project must: include eligible activities and eligible expenditure have at least $300,000 in eligible expenditure support the establishment and/or operation of a new or existing export hub support participating SMEs to improve their capability to increase exports, and create jobs develop and implement an export strategy, building on identified SME strengths and innovation potential. Refer to grant opportunity guidelines for further information on eligibility criteria.",,GO2902,211004 - Heritage,,Small and Medium Enterprises (SME) Export Hubs - Round 2
"The Remote Airstrip Upgrade Program will enhance the safety and accessibility of aerodromes in remote and very remote areas of Australia, providing year round all weather access that will: 
 
 improve the safety of aircraft, operators and passengers using remote and very remote airstrips 
 facilitate improved delivery of essential goods and services such as food supplies, health care, community mail and passenger air services 
 complement air services delivery to communities subsidised under the Australian Government’s Remote Aviation Access Program (RAAP) through the Remote Air Services Subsidy (RASS) Scheme, and/or 
 meet operational requirements of the Royal Flying Doctor Service (RFDS) or operators providing similar aeromedical services. 
 
 Safe, operational aerodromes are vital in the delivery of essential goods and services in remote and very remote communities, particularly where road access is unavailable, unreliable or disrupted for extended periods due to seasonal weather conditions. An effective airstrip, accessible all year round, improves the delivery of health care services such as those provided by the RFDS or other aeromedical providers, improves access to work and education opportunities and helps connect residents of remote communities. 
 There is a total of $8 million available for this grant round. There will be other grant rounds and we will publish the opening and closing dates and any other relevant information on  business.gov.au  and  GrantConnect . 
 The maximum grant amount is $3 million, however it is expected that most grants will not exceed $1.5 million. The grant amount will be up to 50 per cent of eligible project costs (grant percentage), unless 
 
 you are a Priority Indigenous Location. In this case the grant amount will be up to 100% of eligible project costs 
 you and a third party are both contributing to eligible project costs. In this case the grant amount will be up to 33.3 per cent of eligible project costs. 
","To be eligible, you must: have an Australian Business Number (ABN) be an owner and/or operator of an existing aerodrome in a remote or very remote area in Australia and be one of the following entities: an entity incorporated in Australia (including incorporated trustees on behalf of a trust) an Australian local government agency or body as defined in appendix A an Australian State or Territory Government agency or body a corporate Commonwealth entity an Aboriginal and Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (Cth). State agencies or other eligible entities may apply on behalf of aerodrome owners/operators. In such cases, the state agency or other eligible entity will be the lead applicant in a joint application and will be wholly responsible for the project, including administering, reporting and acquitting all project expenditure. We can only accept applications if your aerodrome is identified as “remote or very remote” as defined by the  2016 Australian Statistical Geographic Standard (ASGS) Remoteness Area .",,GO1755,351001 - Infrastructure,351003 - Transport,Remote Airstrip Upgrade Program - Round 6
"Applications to this Medical Research Future Fund (MRFF) Coronavirus Research Response: 2020 COVID-19 Immunological Studies Grant Opportunity must propose research that characterises the immune response across COVID-19 patients with asymptomatic, mild, moderate, severe, and critical disease. 
 Studying the natural infection and the level of immunity across these patient groups will support: 
 
 understanding how the SARS-CoV-2 virus is transmitted by asymptomatic individuals 
 the development of predictive markers of patient infectivity and to define disease severity 
 understanding the immunological correlates of protection against SARS-CoV-2 infection 
 understanding how genetic variation between SARS-CoV-2 isolates (as the virus mutates) effects the immune response of different patient groups. 
 
 The research should consider population dynamics in Australia and vulnerable population groups such as the elderly, pregnant women and those with complex and/or chronic health conditions. 
 The intended outcome of this research is knowledge and evidence that will inform the national health response to COVID-19 and support clinical practice, including: 
 
 targeting interventions such as self-isolation 
 prioritisation of vaccines and / or treatments for high-risk individuals and vulnerable populations. 
 
 Given the rapidly evolving nature of the COVID-19 pandemic, timely research outcomes relative to the time required to conduct the appropriate research should be proposed.  
 This opportunity is supported by the Medical Research Future Fund (MRFF).",Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available on GrantConnect and on the NHMRC website:  https://nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions . Applications must satisfy all the requirements set out in the Medical Research Future Fund (MRFF) Coronavirus Research Response: 2020 COVID-19 Immunological Studies Grant Opportunity Guidelines.,,GO4080,231013 - Medical Research,,MRFF – 2020 COVID-19 Immunological Studies Grant Opportunity
"The purpose of this grant opportunity is to support providers to deliver centre-based respite services for multicultural communities by providing tailored activities for CALD clients and respite for their carers. To strengthen the provision of specialised aged care services for CALD clients, the allocation of $10m per year in 2020-21 and 2021-22 would fund centre-based respite services for multicultural communities by providing tailored activities for CALD clients and respite for their carers. 
 To view the Grant Opportunity Guidelines, please select the red ""GO Documents"" button on the left hand side.","To be eligible you must be: 
 
 a current CHSP provider; 
 an approved provider of home care packages; or 
 a Registered National Disability Insurance Scheme (NDIS) provider. 
 
 As part of your application, you should provide at least one of the following: 
 
 your organisation’s aged care Approved Provider number; 
 your organisation’s CHSP Program Schedule ID (if applicable); and/or 
 select “Yes” when asked in the application form if you are a registered provider of services under the National Disability Insurance Scheme (NDIS). 
 
 At least one form of identification from the above list is required. 
 Smaller organisations are encouraged to form consortia, with a lead organisation submitting the grant application (see Section 7.2 of the Grant Opportunity Guidelines on GrantConnect). 
 Refer to Section 5.2 (Grant Opportunity Guidelines on GrantConnect) Eligible Locations and Service Types.",CALD Respite Services 2020-2022,GO4552,101001 - Aged Care,,Commonwealth Home Support Programme (CHSP) - Culturally and Linguistically Diverse (CALD) Respite Services 2020-2022
"The objective of the CRE scheme is to improve health outcomes and promote or improve translation of research outcomes into policy and/or practice. The CRE scheme will also support researchers in capacity building activities, including in specific areas of need identified by NHMRC. 
 The intended outcomes of the CRE scheme are to: 
 
 support the conduct and development of innovative, high quality, collaborative research 
 promote effective translation of research into health policy and/or practice 
 foster and build capacity in the health and medical research workforce 
 provide opportunities to expand and improve collaborations between research teams. 
 
 CREs will provide support for teams of researchers to pursue collaborative research and develop capacity in clinical research, health services research and public health research. 
 Applicants nominate the stream that best fits their research proposal, although the NHMRC appreciates that there is often overlap. Applicants should refer to the Centres of Research Excellence 2020 Guidelines for further guidance in selecting the appropriate stream. 
 A CRE may be a single physical entity or institute, or be a geographically disparate network linking across more than one institution. Centres are encouraged to collaborate with, and participate in, national and international research studies.",Applications for NHMRC funding are subject to the eligibility requirements set out in the  Centres of Research Excellence 2020 Guidelines . Institutions must be an NHMRC approved Administering Institution to be eligible to receive and administer NHMRC funding - refer to the  NHMRC website  for a list of approved Administering Institutions.,Centres of Research Excellence 2020,GO3061,231013 - Medical Research,,NHMRC Centres of Research Excellence (CRE) 2020
The APPDP grant program spans three financial years from 2020-21 to 2022-23. Its main objective is to assist with the development of democratic political party systems in other countries.,"The Government determined the Australian Labor Party, the Liberal Party of Australia (including on behalf of The Nationals), and the Australian Greens are eligible to apply for this grant.",,GO4218,281000 - International Aid and Development,,Australian Political Parties for Democracy Program
