tag,Australian standard
leadership,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
learning,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
learning algorithms,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
learning disorder,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
learning environment,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
learning objective,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
learning organization,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
learning strategy,[nan]
leaves,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
lebanon,[nan]
leg,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
legal history,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
legal status,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
legal system,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
legislation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
legitimacy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
leisure activities,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
length of stay,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
lenses,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
lepidoptera,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
lesions (animal),"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
letters,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
levodopa,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
levodopa drug combination carbidopa,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
liability,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
liberalism,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
libraries,[nan]
library science,[nan]
license,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
licensure,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
life cycle,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
life history,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
life history trait,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
life style,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
ligaments,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
light,['DIVISION 02 PHYSICAL SCIENCES']
limnology,['DIVISION 04 EARTH SCIENCES']
linear models,['DIVISION 01 MATHEMATICAL SCIENCES']
linguistics,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
linkage,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
lipids,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
lipopolysaccharide-binding protein,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
lipopolysaccharides,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
literacy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
literature,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
literature review,"[nan, 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']"
litigation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
livelihood,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
liver,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
livestock,"['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES', 'DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
lizard,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
lizards,[nan]
local authorities,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
local communities,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
local government,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
local politics,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
location factors,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
logic,[nan]
logistic models,"['DIVISION 15 COMMERCE', 'TOURISM AND SERVICES', 'MANAGEMENT']"
logistics,"['DIVISION 15 COMMERCE', 'TOURISM AND SERVICES', 'MANAGEMENT']"
long short-term memory,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
long term evolution (lte),"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
longitudinal studies,[nan]
longitudinal study,[nan]
loss,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
love,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
low income,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
lower extremity,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
lowlands,['DIVISION 04 EARTH SCIENCES']
lung,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
lung neoplasms,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
maccullochella macquariensis,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
maccullochella peelii peelii,['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES']
machine learning,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
macquaria ambigua,[nan]
macquaria australasica,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
macroinvertebrate,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
macroinvertebrates,[nan]
macropodidae,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
macros,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
macular degeneration,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
magnetic resonance imaging,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
maintenance,[nan]
malaria,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
malathion,['DIVISION 05 ENVIRONMENTAL SCIENCES']
malaysia,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
malnutrition,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mammal,[nan]
mammals,"[nan, 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mammography,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
management,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
manager,[nan]
managers,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mangrove,['DIVISION 05 ENVIRONMENTAL SCIENCES']
manipulation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
manufacturing,['DIVISION 09 ENGINEERING']
manuka honey,['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES']
manuscripts,[nan]
marital status,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
marker,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
market,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
marketing,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
marriage,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
marsupial,[nan]
marsupialia,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
masculinity,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mask,"['DIVISION 10 TECHNOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
masks,['DIVISION 10 TECHNOLOGY']
mass drug administration,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mass media,[nan]
mass spectrometry,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
materiality,['DIVISION 09 ENGINEERING']
mathematics,['DIVISION 01 MATHEMATICAL SCIENCES']
