tag,old_class,category,Australian standard
Gray Literature,社会科学,社会科学,DIVISION 13 EDUCATION
Gray Literature,社会科学,社会科学,DIVISION 15 COMMERCE
Gray Literature,社会科学,社会科学,MANAGEMENT
Gray Literature,社会科学,社会科学,TOURISM AND SERVICES
Gray Literature,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Gray Literature,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Gray Literature,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Gray Literature,社会科学,社会科学,DIVISION 20 LANGUAGE
Gray Literature,社会科学,社会科学,COMMUNICATION AND CULTURE
Gray Literature,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Gray Literature,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
groundwater,地球科学,地球科学,DIVISION 04 EARTH SCIENCES
guarantee,其他,,
Hair,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hair,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hamstring Muscles,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hamstring Muscles,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Handover,其他,,
HDL Cholesterol,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
HDL Cholesterol,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Head,其他,,
Head and Neck Neoplasms,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Head and Neck Neoplasms,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health behavior,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health behavior,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
health care,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health care,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Health Care Providers,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Care Providers,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Health Promotion,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Promotion,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Health Services,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Services,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Health Services Accessibility,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Services Accessibility,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Health Surveys,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Surveys,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Healthcare,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Healthcare,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Heart Diseases,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Heart Diseases,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Heart Failure,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Heart Failure,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Heart Rate,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Heart Rate,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
heart rate,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
heart rate,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
heat,其他,,
Heritage,社会科学,社会科学,DIVISION 14 ECONOMICS
Heritage,社会科学,社会科学,DIVISION 13 EDUCATION
Heritage,社会科学,社会科学,DIVISION 15 COMMERCE
Heritage,社会科学,社会科学,MANAGEMENT
Heritage,社会科学,社会科学,TOURISM AND SERVICES
Heritage,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Heritage,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Heritage,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Heritage,社会科学,社会科学,DIVISION 20 LANGUAGE
Heritage,社会科学,社会科学,COMMUNICATION AND CULTURE
Heritage,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Heritage,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Hip,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hip,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Historic,社会科学,社会科学,DIVISION 14 ECONOMICS
Historic,社会科学,社会科学,DIVISION 13 EDUCATION
Historic,社会科学,社会科学,DIVISION 15 COMMERCE
Historic,社会科学,社会科学,MANAGEMENT
Historic,社会科学,社会科学,TOURISM AND SERVICES
Historic,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Historic,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Historic,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Historic,社会科学,社会科学,DIVISION 20 LANGUAGE
Historic,社会科学,社会科学,COMMUNICATION AND CULTURE
Historic,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Historic,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
HIV,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
HIV,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
home care,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
home care,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Home Care Services,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Home Care Services,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Honey,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Honey,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hospital Departments,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hospital Departments,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hotels,其他,,
household,其他,,
Human,其他,,
Human Body,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Human Body,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Human computer interaction,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Human computer interaction,计算机,计算机,DIVISION 10 TECHNOLOGY
Human Influenza,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Human Influenza,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
human rights,社会科学,社会科学,DIVISION 14 ECONOMICS
human rights,社会科学,社会科学,DIVISION 13 EDUCATION
human rights,社会科学,社会科学,DIVISION 15 COMMERCE
human rights,社会科学,社会科学,MANAGEMENT
human rights,社会科学,社会科学,TOURISM AND SERVICES
human rights,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
human rights,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
human rights,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
human rights,社会科学,社会科学,DIVISION 20 LANGUAGE
human rights,社会科学,社会科学,COMMUNICATION AND CULTURE
human rights,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
human rights,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
hybridization,生命科学,,
Hydrocortisone,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hydrocortisone,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hyperoxia,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hyperoxia,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hypertension,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hypertension,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Ice,地球科学,地球科学,DIVISION 04 EARTH SCIENCES
Identification (control systems),自动化,自动化,
ideology,社会科学,社会科学,DIVISION 14 ECONOMICS
ideology,社会科学,社会科学,DIVISION 13 EDUCATION
ideology,社会科学,社会科学,DIVISION 15 COMMERCE
ideology,社会科学,社会科学,MANAGEMENT
ideology,社会科学,社会科学,TOURISM AND SERVICES
ideology,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
ideology,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
ideology,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
ideology,社会科学,社会科学,DIVISION 20 LANGUAGE
ideology,社会科学,社会科学,COMMUNICATION AND CULTURE
ideology,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
ideology,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Imagery,社会科学,社会科学,DIVISION 14 ECONOMICS
Imagery,社会科学,社会科学,DIVISION 13 EDUCATION
Imagery,社会科学,社会科学,DIVISION 15 COMMERCE
Imagery,社会科学,社会科学,MANAGEMENT
Imagery,社会科学,社会科学,TOURISM AND SERVICES
Imagery,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Imagery,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Imagery,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Imagery,社会科学,社会科学,DIVISION 20 LANGUAGE
Imagery,社会科学,社会科学,COMMUNICATION AND CULTURE
Imagery,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Imagery,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
imagination,社会科学,社会科学,DIVISION 14 ECONOMICS
imagination,社会科学,社会科学,DIVISION 13 EDUCATION
imagination,社会科学,社会科学,DIVISION 15 COMMERCE
imagination,社会科学,社会科学,MANAGEMENT
imagination,社会科学,社会科学,TOURISM AND SERVICES
imagination,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
imagination,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
imagination,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
imagination,社会科学,社会科学,DIVISION 20 LANGUAGE
imagination,社会科学,社会科学,COMMUNICATION AND CULTURE
imagination,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
imagination,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Immigrants,社会科学,社会科学,DIVISION 14 ECONOMICS
Immigrants,社会科学,社会科学,DIVISION 13 EDUCATION
Immigrants,社会科学,社会科学,DIVISION 15 COMMERCE
Immigrants,社会科学,社会科学,MANAGEMENT
Immigrants,社会科学,社会科学,TOURISM AND SERVICES
Immigrants,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Immigrants,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Immigrants,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Immigrants,社会科学,社会科学,DIVISION 20 LANGUAGE
Immigrants,社会科学,社会科学,COMMUNICATION AND CULTURE
Immigrants,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Immigrants,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Immunity,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Immunity,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Impetigo,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Impetigo,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Impurities,化学,,
Inbreeding,生命科学,,
Incidence,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Incidence,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Income Inequality,社会科学,社会科学,DIVISION 14 ECONOMICS
Income Inequality,社会科学,社会科学,DIVISION 13 EDUCATION
Income Inequality,社会科学,社会科学,DIVISION 15 COMMERCE
Income Inequality,社会科学,社会科学,MANAGEMENT
Income Inequality,社会科学,社会科学,TOURISM AND SERVICES
Income Inequality,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Income Inequality,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Income Inequality,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Income Inequality,社会科学,社会科学,DIVISION 20 LANGUAGE
Income Inequality,社会科学,社会科学,COMMUNICATION AND CULTURE
Income Inequality,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Income Inequality,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Independent Living,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Independent Living,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
index,其他,,
Indigenous Peoples,社会科学,社会科学,DIVISION 14 ECONOMICS
Indigenous Peoples,社会科学,社会科学,DIVISION 13 EDUCATION
Indigenous Peoples,社会科学,社会科学,DIVISION 15 COMMERCE
Indigenous Peoples,社会科学,社会科学,MANAGEMENT
Indigenous Peoples,社会科学,社会科学,TOURISM AND SERVICES
Indigenous Peoples,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Indigenous Peoples,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Indigenous Peoples,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Indigenous Peoples,社会科学,社会科学,DIVISION 20 LANGUAGE
Indigenous Peoples,社会科学,社会科学,COMMUNICATION AND CULTURE
Indigenous Peoples,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Indigenous Peoples,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Industry 4.0,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
Inflammation,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Inflammation,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Information systems,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Information systems,计算机,计算机,DIVISION 10 TECHNOLOGY
Infrastructure Projects,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
insecticide,化学,,
Insurance Benefits,社会科学,社会科学,DIVISION 14 ECONOMICS
Insurance Benefits,社会科学,社会科学,DIVISION 13 EDUCATION
Insurance Benefits,社会科学,社会科学,DIVISION 15 COMMERCE
Insurance Benefits,社会科学,社会科学,MANAGEMENT
Insurance Benefits,社会科学,社会科学,TOURISM AND SERVICES
Insurance Benefits,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Insurance Benefits,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Insurance Benefits,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Insurance Benefits,社会科学,社会科学,DIVISION 20 LANGUAGE
Insurance Benefits,社会科学,社会科学,COMMUNICATION AND CULTURE
Insurance Benefits,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Insurance Benefits,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Intellectual Disability,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Intellectual Disability,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Intelligence,其他,,
Interaction,其他,,
intercultural learning,社会科学,社会科学,DIVISION 14 ECONOMICS
intercultural learning,社会科学,社会科学,DIVISION 13 EDUCATION
intercultural learning,社会科学,社会科学,DIVISION 15 COMMERCE
intercultural learning,社会科学,社会科学,MANAGEMENT
intercultural learning,社会科学,社会科学,TOURISM AND SERVICES
intercultural learning,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
intercultural learning,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
intercultural learning,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
intercultural learning,社会科学,社会科学,DIVISION 20 LANGUAGE
intercultural learning,社会科学,社会科学,COMMUNICATION AND CULTURE
intercultural learning,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
intercultural learning,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
intercultural skills,社会科学,社会科学,DIVISION 14 ECONOMICS
intercultural skills,社会科学,社会科学,DIVISION 13 EDUCATION
intercultural skills,社会科学,社会科学,DIVISION 15 COMMERCE
intercultural skills,社会科学,社会科学,MANAGEMENT
intercultural skills,社会科学,社会科学,TOURISM AND SERVICES
intercultural skills,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
intercultural skills,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
intercultural skills,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
intercultural skills,社会科学,社会科学,DIVISION 20 LANGUAGE
intercultural skills,社会科学,社会科学,COMMUNICATION AND CULTURE
intercultural skills,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
intercultural skills,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Interdependence,其他,,
interdisciplinary research,其他,,
Interleukin-6,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Interleukin-6,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
internal migration,社会科学,社会科学,DIVISION 14 ECONOMICS
internal migration,社会科学,社会科学,DIVISION 13 EDUCATION
internal migration,社会科学,社会科学,DIVISION 15 COMMERCE
internal migration,社会科学,社会科学,MANAGEMENT
internal migration,社会科学,社会科学,TOURISM AND SERVICES
internal migration,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
internal migration,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
internal migration,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
internal migration,社会科学,社会科学,DIVISION 20 LANGUAGE
internal migration,社会科学,社会科学,COMMUNICATION AND CULTURE
internal migration,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
internal migration,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Internship and Residency,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Internship and Residency,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
interpretation,社会科学,社会科学,DIVISION 14 ECONOMICS
interpretation,社会科学,社会科学,DIVISION 13 EDUCATION
interpretation,社会科学,社会科学,DIVISION 15 COMMERCE
interpretation,社会科学,社会科学,MANAGEMENT
interpretation,社会科学,社会科学,TOURISM AND SERVICES
interpretation,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
interpretation,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
interpretation,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
interpretation,社会科学,社会科学,DIVISION 20 LANGUAGE
interpretation,社会科学,社会科学,COMMUNICATION AND CULTURE
interpretation,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
interpretation,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Invertebrates,生命科学,,
Ireland,其他,,
Joints,其他,,
Journalism,社会科学,社会科学,DIVISION 14 ECONOMICS
Journalism,社会科学,社会科学,DIVISION 13 EDUCATION
Journalism,社会科学,社会科学,DIVISION 15 COMMERCE
Journalism,社会科学,社会科学,MANAGEMENT
Journalism,社会科学,社会科学,TOURISM AND SERVICES
Journalism,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Journalism,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Journalism,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Journalism,社会科学,社会科学,DIVISION 20 LANGUAGE
Journalism,社会科学,社会科学,COMMUNICATION AND CULTURE
Journalism,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Journalism,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
journalism,社会科学,社会科学,DIVISION 14 ECONOMICS
journalism,社会科学,社会科学,DIVISION 13 EDUCATION
journalism,社会科学,社会科学,DIVISION 15 COMMERCE
journalism,社会科学,社会科学,MANAGEMENT
journalism,社会科学,社会科学,TOURISM AND SERVICES
journalism,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
journalism,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
journalism,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
journalism,社会科学,社会科学,DIVISION 20 LANGUAGE
journalism,社会科学,社会科学,COMMUNICATION AND CULTURE
journalism,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
journalism,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
jurisdiction,社会科学,社会科学,DIVISION 14 ECONOMICS
jurisdiction,社会科学,社会科学,DIVISION 13 EDUCATION
jurisdiction,社会科学,社会科学,DIVISION 15 COMMERCE
jurisdiction,社会科学,社会科学,MANAGEMENT
jurisdiction,社会科学,社会科学,TOURISM AND SERVICES
jurisdiction,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
jurisdiction,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
jurisdiction,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
jurisdiction,社会科学,社会科学,DIVISION 20 LANGUAGE
jurisdiction,社会科学,社会科学,COMMUNICATION AND CULTURE
jurisdiction,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
jurisdiction,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
jurisprudence,社会科学,社会科学,DIVISION 14 ECONOMICS
jurisprudence,社会科学,社会科学,DIVISION 13 EDUCATION
jurisprudence,社会科学,社会科学,DIVISION 15 COMMERCE
jurisprudence,社会科学,社会科学,MANAGEMENT
jurisprudence,社会科学,社会科学,TOURISM AND SERVICES
jurisprudence,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
jurisprudence,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
jurisprudence,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
jurisprudence,社会科学,社会科学,DIVISION 20 LANGUAGE
jurisprudence,社会科学,社会科学,COMMUNICATION AND CULTURE
jurisprudence,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
jurisprudence,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
keratinophilic fungi,生命科学,,
Kinetics,化学,,
Knee Joint,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Knee Joint,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Knee Osteoarthritis,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Knee Osteoarthritis,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
knowledge economy,社会科学,社会科学,DIVISION 14 ECONOMICS
knowledge economy,社会科学,社会科学,DIVISION 13 EDUCATION
knowledge economy,社会科学,社会科学,DIVISION 15 COMMERCE
knowledge economy,社会科学,社会科学,MANAGEMENT
knowledge economy,社会科学,社会科学,TOURISM AND SERVICES
knowledge economy,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
knowledge economy,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
knowledge economy,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
knowledge economy,社会科学,社会科学,DIVISION 20 LANGUAGE
knowledge economy,社会科学,社会科学,COMMUNICATION AND CULTURE
knowledge economy,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
knowledge economy,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Knowledge Management,其他,,
knowledge production,其他,,
lack,其他,,
Latent Class Analysis,社会科学,社会科学,DIVISION 14 ECONOMICS
Latent Class Analysis,社会科学,社会科学,DIVISION 13 EDUCATION
Latent Class Analysis,社会科学,社会科学,DIVISION 15 COMMERCE
Latent Class Analysis,社会科学,社会科学,MANAGEMENT
Latent Class Analysis,社会科学,社会科学,TOURISM AND SERVICES
Latent Class Analysis,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Latent Class Analysis,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Latent Class Analysis,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Latent Class Analysis,社会科学,社会科学,DIVISION 20 LANGUAGE
Latent Class Analysis,社会科学,社会科学,COMMUNICATION AND CULTURE
Latent Class Analysis,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Latent Class Analysis,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Law,社会科学,社会科学,DIVISION 14 ECONOMICS
Law,社会科学,社会科学,DIVISION 13 EDUCATION
Law,社会科学,社会科学,DIVISION 15 COMMERCE
Law,社会科学,社会科学,MANAGEMENT
Law,社会科学,社会科学,TOURISM AND SERVICES
Law,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Law,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Law,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
