word,cate1,cate2,cate3
virion,10 TECHNOLOGY,,
virus replication,10 TECHNOLOGY,,
visibility,,,
vision disorders,,,
visualization,23 OTHERS(RELEVANT),,
volleyball,13 EDUCATION,,
volunteers,24 OTHERS(IRRELEVANT),,
voter,24 OTHERS(IRRELEVANT),,
voting,24 OTHERS(IRRELEVANT),,
vulnerability,11 MEDICAL AND HEALTH SCIENCES,,
vulnerable populations,16 STUDIES IN HUMAN SOCIETY,,
waist-hip ratio,11 MEDICAL AND HEALTH SCIENCES,,
walk test,11 MEDICAL AND HEALTH SCIENCES,,
walking,24 OTHERS(IRRELEVANT),,
washing,24 OTHERS(IRRELEVANT),,
water,04 EARTH SCIENCES,06 BIOLOGICAL SCIENCES,
water quality,04 EARTH SCIENCES,,
water resource,04 EARTH SCIENCES,,
water resources,04 EARTH SCIENCES,,
water sports,13 EDUCATION,,
watermarking,09 ENGINEERING,,
wavelet transforms,02 PHYSICAL SCIENCES,,
way of life,16 STUDIES IN HUMAN SOCIETY,,
weapons,09 ENGINEERING,,
weathering,04 EARTH SCIENCES,,
web sites,08 INFORMATION AND COMPUTING SCIENCES,09 ENGINEERING,10 TECHNOLOGY
weight loss,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
weights and measures,23 OTHERS(RELEVANT),,
well-being,16 STUDIES IN HUMAN SOCIETY,,
western australia,24 OTHERS(IRRELEVANT),,
wetland,04 EARTH SCIENCES,,
wetlands,04 EARTH SCIENCES,,
wheat,07 AGRICULTURAL AND VETERINARY SCIENCES,,
widow,24 OTHERS(IRRELEVANT),,
widowhood,24 OTHERS(IRRELEVANT),,
wilderness,05 ENVIRONMENTAL SCIENCES,,
wildfire,05 ENVIRONMENTAL SCIENCES,,
wildland fire management,05 ENVIRONMENTAL SCIENCES,,
wine,09 ENGINEERING,07 AGRICULTURAL AND VETERINARY SCIENCES,
winter,04 EARTH SCIENCES,,
women's health,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
work place,16 STUDIES IN HUMAN SOCIETY,,
worker,16 STUDIES IN HUMAN SOCIETY,,
working life,24 OTHERS(IRRELEVANT),,
workplace,16 STUDIES IN HUMAN SOCIETY,,
world war ii,21 HISTORY AND ARCHAEOLOGY,,
wounds and injuries,11 MEDICAL AND HEALTH SCIENCES,17 PSYCHOLOGY AND COGNITIVE SCIENCES,
writer,24 OTHERS(IRRELEVANT),,
young,11 MEDICAL AND HEALTH SCIENCES,,
youth sports,13 EDUCATION,,
