,ATM ID,Agency,Category,Close Date & Time,Description,Title,_id,ID,isRelated
16916,MR2012,Department of Veterans' Affairs,Military science and research,08-May-12 12:00 pm,Military Researcher Providers Panel,Military Researchers,6159c38f9107b6df81b178b6,92111700.0,1.0
17405,ACIAR04/2012,Australian Centre for International Agricultural Research,Crop production and management and protection,18-Sep-12 2:00 pm,"The project is a nine million dollar, three year activity which aims to: consolidate the research and development conducted over the past six years; and promote the wider adoption of conservation cropping practices in Ninevah, Iraq. For more details see RFT documents and contact below.",Iraq Crop Improvement Management Project,6159c38f9107b6df81b17a9f,70140000.0,1.0
18660,RFT 2013-189,Department of Defence - DSRG,Military science and research,27-Aug-13 2:00 pm,"The Defence Science and Technology Organisation's Land Division supports the Australian Defence Force in logistics and combat service support capability development through modelling, simulation, experimentation, analysis, decision support studies, and other forms of Science and Technology support.",Provision of Supporting Logistics and Combat Service Support Research,6159c38f9107b6df81b17f86,92111700.0,1.0
18828,RFT 2013-196,Department of Defence - DSRG,Military science and research,18-Oct-13 2:00 pm,To provide food science and nutrition scientific services.,Provision of Food Science and Nutrition Scientific Services,6159c38f9107b6df81b1802e,92111700.0,1.0
19254,RFT 2013-306,Department of Defence - DSRG,Military science and research,20-Mar-14 2:00 pm,"For this procurement, the successful tenderer is required to undertake a Computational Fluid Dynamics (CFD) study with the objective to generate force data that can be used to characterise a submarine dynamics simulation for surfaced and periscope depth operations.   The simulations will mimic standard captive model experiments (Static Incidence and Rotating Arm Tests).",Provision of a Computational Fluid Dynamics Study,6159c38f9107b6df81b181d8,92111700.0,1.0
19367,RFT 2014-026,Department of Defence - DSRG,Military science and research,28-Apr-14 2:00 pm,Design of a Helicopter Airframe Structural Test Rig.,Design of a Helicopter Airframe Structural Test Rig,6159c38f9107b6df81b18249,92111700.0,1.0
19649,RFT2014-158,Department of Defence - DSRG,Military science and research,05-Aug-14 2:00 pm,Provision of Human Factors Scientist for Defence Science & Technology Organisation (DSTO) at Fisherman's Bend.,Human Factors Scientist,6159c38f9107b6df81b18363,92111700.0,1.0
19703,RFT 2014-170,Department of Defence - DSRG,Military science and research,27-Aug-14 2:00 pm,"The Department of Defence requires the services of a technical officer with substantial experience in logistical and technical support for sophisticated remote field trials and complex experiments, as well as a solid understanding of the hardware used in High Frequency radio and radar applications.",Provision of a Technical Officer,6159c38f9107b6df81b18399,92111700.0,1.0
19732,DSTO1415/001,Department of Defence - DSRG,Military science and research,09-Sep-14 12:00 pm,"Standing offer for scientific, engineering and technical services to Defence Science and Technology Organisation",DSTO Research Scientific Engineering and Technical Services Panel,6159c38f9107b6df81b183b6,92111700.0,1.0
20004,RFT2014-255,Department of Defence - DSRG,Military science and research,03-Dec-14 2:00 pm,Programming/Technical/Scientific support is required for Defence Science Technology Organisation (DSTO) Applied Cognition Laboratory.      ,Programming/Technical/Scientific Support,6159c38f9107b6df81b184c6,92111700.0,1.0
20138,RFT2014-226,Department of Defence - DSRG,Military science and research,30-Jan-15 12:00 pm,Under the Lead-In-Fighter Project (LIF) the Defence Science & Technology Organisation has a requirement for a Non Destructive Inspection (NDI) contractor to assist in inspection and repair activity conducted on the LIF Test Article.   The NDI technician must be qualified to a minimum of Level 2 Non Destructive Testing (NDT) practitioner under AS3669.,Non Destructive Inspection Technician,6159c38f9107b6df81b1854c,92111700.0,1.0
20222,RFT2014-305,Department of Defence - DSRG,Military science and research,24-Feb-15 2:00 pm,Human Factors Specialist to Support Opertions Room Design,Human Factors Specialist,6159c38f9107b6df81b185a0,92111700.0,1.0
20333,2015.01.10,Grains Research and Development Corporation,Crop production and management and protection,30-Mar-15 4:00 pm,Request for Tender for the provision of improvement of on-farm grain storage management practices through technical training and extension.,Improvement of On-Farm Grain Storage Management Practices Through Technical Training and Extension,6159c38f9107b6df81b1860f,70140000.0,1.0
20377,2015.03.19,Grains Research and Development Corporation,Crop production and management and protection,20-Apr-15 2:00 pm,The purpose of this RFT is to establish a Panel of potential service providers for the various categories of Services. Successful Tenderers will be invited to execute the Panel Deed. Each successful Tenderer will be engaged under a Panel Deed to provide services to GRDC under a standing offer arrangement on an ‘as required’ basis.,Regional Development and Regional Communication Services,6159c38f9107b6df81b1863b,70140000.0,1.0
20507,2015-WR-GRU,Grains Research and Development Corporation,Crop production and management and protection,09-Jun-15 2:00 pm,"GRDC wishes to engage a supplier to deliver GRDC Research Updates in the Western Region.  In this investment, the program for the GRDC Research Updates will mainly focus on technical (agronomic) topics.",GRDC Research Updates - Western Region,6159c38f9107b6df81b186bd,70140000.0,1.0
20509,2015-WR-BU,Grains Research and Development Corporation,Crop production and management and protection,09-Jun-15 2:00 pm,GRDC wishes to deliver GRDC Business Updates in the Western Region and seeks an appropriate provider to undertake this project.,GRDC Business Updates - Western Region,6159c38f9107b6df81b186bf,70140000.0,1.0
20629,RFT 2015-0138,Department of Defence - DSRG,Military science and research,27-Jul-15 2:00 pm,"The contracted effort will assist the Department of Defence in providing science and technology support to the Australian Army relevant to the design, development and implementation of Combat Service Support forces.",Research Support for Combat Service Support Design and Assessment,6159c38f9107b6df81b18737,92111700.0,1.0
20970,RFT/MRS2016,Department of Veterans' Affairs,Military science and research,19-Nov-15 2:00 pm,Contracted Military Research Services,Military Research Services,6159c38f9107b6df81b1888c,92111700.0,1.0
21282,RFT 2015-0410,Department of Defence - DSRG,Military science and research,03-Feb-16 2:00 pm,To develop and provide a working Prototype of a Passive (unpowered) Exoskeleton Concept for Field Trials.,Passive (un-powered) Exoskeleton,6159c38f9107b6df81b189c4,92111700.0,1.0
21326,ARMY 1516/0639,Department of Defence - DSRG,Military science and research,15-Feb-16 12:00 am,The Australian Army’s Strategic Plans Branch is seeking service providers to undertake paid research on topics that will inform future land force development and modernisation.,Army Research Scheme,6159c38f9107b6df81b189f0,92111700.0,1.0
21395,IS 2016/01,Department of Defence - ISG,Military science and research,07-Mar-16 12:00 pm,The Commonwealth has a requirement for Sniper Scopes as descibed in the attached documentation.,Sniper Scopes,6159c38f9107b6df81b18a35,92111700.0,1.0
21680,PFS72-1,Grains Research and Development Corporation,Crop production and management and protection,13-Jun-16 2:00 pm,GRDC invites tenders for the role of Southern NSW Grower Solutions Group to provide the Southern NSW Grower Solutions Group Projects.   ,GRDC Southern NSW Grower Solutions Group,6159c38f9107b6df81b18b52,70140000.0,1.0
21729,AID - 2016,Department of Defence - DSRG,Military science and research,13-Jul-16 2:00 pm,"The Department of Defence is seeking innovative industry proposals for participation in the Army Innovation Day 2016.    Army Innovation Day (AID) 2016 is a short-cycle nomination, selection, demonstration and assessment process used by Army to bring innovative equipment, tools or enabling systems in front of a panel of capability specialists and decision-makers.",Army Innovation Day – 2016,6159c38f9107b6df81b18b83,92111700.0,1.0
21749,CTD Program Rd 21,Department of Defence - DSRG,Military science and research,25-Jul-16 9:00 am,Capability and Technology Demonstrators Round 21 Call for Initial Proposals,Capability and Technology Demonstrators Program Round 21 Call for Initial Proposals,6159c38f9107b6df81b18b97,92111700.0,1.0
21825,PFS73-1,Grains Research and Development Corporation,Crop production and management and protection,31-Aug-16 2:00 pm,GRDC invites tenders for the provision of Coordination and Facilitation Services to the GRDC’s Regional Cropping Solutions Network (RCSN) in the Southern Region   ,GRDC Southern Region RCSN 2016,6159c38f9107b6df81b18be3,70140000.0,1.0
21851,AWC/002/1617,Department of Defence - DSRG,Military science and research,14-Sep-16 2:00 pm,"Conduct directed research in response to a wide variety of tasks related to psychological, behavioural, and cognitive - as well as physical and physiological - human performance limitations of military aircrew and controllers.",Aviation Human Performance Specialist Services,6159c38f9107b6df81b18bfd,92111700.0,1.0
22098,GRDC00394,Grains Research and Development Corporation,Crop production and management and protection,09-Dec-16 5:00 pm,"The Grains Research and Development Corporation (GRDC) wishes to engage a suitably qualified market research provider, or providers, to work with the Corporation in conducting an annual stock take and segmentation analysis of the values and characteristics of Australian grain growers and their advisers and the value they seek from the GRDC through collective inquiry on categories that may exist within the grower community.      ",Understanding Australian Grain Grower Segments and their RD&E needs,6159c38f9107b6df81b18cf4,70140000.0,1.0
22147,RFT 2016-0260,Department of Defence - DSRG,Military science and research,17-Jan-17 2:00 pm,Remote Explosive Ordnance Inerting Capability,Semi-Automated Explosive Ordnance Inerting Capability,6159c38f9107b6df81b18d25,92111700.0,1.0
22170,PROC-9174837,Grains Research and Development Corporation,Crop production and management and protection,27-Jan-17 5:00 pm,"GRDC invites tenders for the development of crop management packages for early sown, long season wheats in the Southern region. This three and half year investment will involve conducting numerous field trials across Victoria and South Australia.   ","Development of crop management packages for early sown, long season wheats in the Southern region",6159c38f9107b6df81b18d3c,70140000.0,1.0
22256,PROC 9174838,Grains Research and Development Corporation,Crop production and management and protection,20-Feb-17 5:00 pm,"This investment will by October 2017, provide a written report to GRDC describing the plans to determine thresholds and a priority listing of crop x pest thresholds for each region. The report will include findings from at least 5 information-gathering workshops held in each region, and will include input from SAGI regarding statistical analysis of proposed trials.  ",Economic thresholds for the major pests reducing profitability in the Australian grains industry,6159c38f9107b6df81b18d92,70140000.0,1.0
22287,HUB-16-PIN-SIF-001,Department of Defence - DSRG,Military science and research,03-Mar-17 12:00 pm,Defence Innovation Hub - Procurement of Military Science and Research Services.,Defence Innovation Hub - Call for Submissions,6159c38f9107b6df81b18db1,92111700.0,1.0
22301,PROC 9174839,Grains Research and Development Corporation,Crop production and management and protection,06-Mar-17 5:00 pm,"Conduct a range of research that will by 2025, achieve a 20% increase in growers effectively using cultural weed management tools which reduce current economic losses and minimise control costs based on the 2016 GRDC Farm Practices Survey.",Cultural management for weed control and maintenance of crop yield,6159c38f9107b6df81b18dbf,70140000.0,1.0
22336,PROC 9174905,Grains Research and Development Corporation,Crop production and management and protection,24-Mar-17 5:00 pm,"The GRDC is focused on delivering value to Australian grain growers. To achieve this, the GRDC seeks to fund local extension and development trial activities in southern NSW.",Southern NSW Local Trials for 2017,6159c38f9107b6df81b18de2,70140000.0,1.0
22351,NGTF-17-SNR-EHP-0001,Department of Defence - DSRG,Military science and research,30-Mar-17 5:00 pm,The Fight Recorder is a wearable device that captures and transmits critical battlefield event data. ,Fight Recorder Concept,6159c38f9107b6df81b18df1,92111700.0,1.0
22550,PROC-9175214,Grains Research and Development Corporation,Crop production and management and protection,09-Jun-17 5:00 pm,"GRDC invites tenders for the provision of extension and communication services to build capacity, skills and knowledge for the pulse industry in the Southern Region. This two and half year investment will involve delivery of discussion groups, training, workshops and communication materials to realise long-term farming system and financial benefits.      ","FOR THE PROVISION OF Building capacity, skills and knowledge for the pulse industry in the Southern Region: Supporting e",6159c38f9107b6df81b18eb8,70140000.0,1.0
22577,PROC-9174847,Grains Research and Development Corporation,Crop production and management and protection,20-Jun-17 5:00 pm,The GRDC is seeking applications for the facilitation of National annual investment area forums for collaboration and technical review.,National annual investment area forums for collaboration and technical review,6159c38f9107b6df81b18ed3,70140000.0,1.0
22600,HUB-16-PIN-SIF-001 a,Department of Defence - DSRG,Military science and research,30-Jun-17 12:00 pm,Defence Innovation Hub - Procurement of Military Science and Research Services. ,Defence Innovation Hub - Call for Submissions,6159c38f9107b6df81b18eea,92111700.0,1.0
22618,PROC-9175168,Grains Research and Development Corporation,Crop production and management and protection,05-Jul-17 5:00 pm,"The GRDC is focused on delivering value to Australian grain growers. To achieve this, the GRDC seeks to fund Capacity Building for Growers and Advisers through Study Tours",GRDC Capacity Building for Growers and Advisers – Study Tours,6159c38f9107b6df81b18efc,70140000.0,1.0
22682,HUB-17-SN-SIF-004,Department of Defence - DSRG,Military science and research,31-Jul-17 5:00 pm,Defence Innovation Hub: Special Notice - Next Generation Deployed Wireless Environment,Defence Innovation Hub: Special Notice - Next-Gen Wireless,6159c38f9107b6df81b18f3c,92111700.0,1.0
22703,HUB-17-SN-SIF-005,Department of Defence - DSRG,Military science and research,07-Aug-17 5:00 pm,  Defence Innovation Hub: Special Notice - Small Unmanned Aerial System (SUAS)  ,Defence Innovation Hub: Special Notice - Small Unmanned Aerial System (SUAS),6159c38f9107b6df81b18f51,92111700.0,1.0
22812,HUB-17-AID-001,Department of Defence - DSRG,Military science and research,13-Sep-17 3:00 pm,"The Department of Defence (Defence) via the Defence Innovation Hub is seeking proposed innovations that will help shape Army’s approach to the challenges of novel weapons and novel effects in a combined arms team in a joint environment (Innovation Theme). Defence will conduct an initial assessment of submissions in accordance with the Call for Submissions Special Notice (CFS) Terms (the Terms) and will select up to 30 respondents to display, exhibit and demonstrate their proposed innovation at Army Innovation Day 2017 (AID17).",Special Notice Call For Submissions: Army Innovation Day– Novel Weapons and Novel Effects (incl demonstration),6159c38f9107b6df81b18fbe,92111700.0,1.0
22901,CASG/ASD/EOI0235/17,Department of Defence - CASG,Military science and research,11-Oct-17 4:00 pm,Invitation to Register for Industry Engagement Activity,Aerial Opposing Force and Target Support Invitation to Register for Industry Engagement,6159c38f9107b6df81b19017,92111700.0,1.0
22950,PROC-9175385,Grains Research and Development Corporation,Crop production and management and protection,30-Oct-17 5:00 pm,"By 15 March 2022, growers able to diagnose spatially the presence, type and severity of soil constraint(s), specifically sodicity, acidity, salinity and soil structure i.e. compaction. ",Project A: Spatial soil constraint diagnoses in the northern region,6159c38f9107b6df81b19048,70140000.0,1.0
22951,PROC-9175386,Grains Research and Development Corporation,Crop production and management and protection,30-Oct-17 5:00 pm,"By 15 March 2022, growers able to compare management strategies design and implementation costs to achieve profitable management and/or amelioration of identified soil constraints.",Project B - Soil constraint management and amelioration strategies for the northern region,6159c38f9107b6df81b19049,70140000.0,1.0
22952,PROC-9175387,Grains Research and Development Corporation,Crop production and management and protection,30-Oct-17 5:00 pm,"By 15 March 2022, growers with knowledge and tools to undertake economic analysis of potential soil amelioration strategies.",Project C: Economics of adoption in the northern region,6159c38f9107b6df81b1904a,70140000.0,1.0
22953,PROC-9175388,Grains Research and Development Corporation,Crop production and management and protection,30-Oct-17 5:00 pm,"By 15 March 2022 a legacy of analysed, reported and published knowledge communicated and extended in forms that will be readily adopted by grain growers and advisors during and following the program.","Project D: Program co-ordination - communication, extension and evaluation.",6159c38f9107b6df81b1904b,70140000.0,1.0
22996,2017-07-11,Department of Defence - DSRG,Military science and research,20-Nov-17 5:00 pm,Wizard of Aus 2018 An Autonomous Warrior 2018 Trial,Wizard of Aus 2018 An Autonomous Warrior 2018 Trial,6159c38f9107b6df81b19076,92111700.0,1.0
23013,PROC- 9175427,Grains Research and Development Corporation,Crop production and management and protection,27-Nov-17 5:00 pm,"GRDC relies on periodic economic surveys on the costs of disease, weeds and invertebrate pests when making investment decisions. GRDC needs better information to support a seasonal or twice seasonal situation analysis on biotic threats to improve investment decisions and to alert growers to changes in abundance of current threats or movement of new threats into different regions, or changes in biology of weeds pests or diseases or increased resistance of these threats. The development of new tools for trapping biotic threats will assist in providing some of this data for pests and disease but not weeds. The grains industry has a high adoption of agronomic consultants, and the use of electronic recording platforms (both commercial agronomists and growers).  The utilisation of this rich source of biotic threat information has not been attempted. This investment is to scope the feasibility of integrating the skills of agronomists and/or the records they or grower keep to provide a more detailed picture of the current distribution and abundance of biotic threats. Integration of these data could lead to: the provision of improved pest alerts to growers; determination of changes in species abundance and temporal activity; warnings of the appearance of new biotic threats; development of resistance and management options being implemented by growers.","SMART Surveillance for pests, diseases and weeds",6159c38f9107b6df81b19087,70140000.0,1.0
23135,HUB-16-PIN-SIF-001 b,Department of Defence - DSRG,Military science and research,31-Dec-17 12:00 pm,Defence Innovation Hub - Procurement of Military Science and Research Services. ,Defence Innovation Hub - Call for Submissions,6159c38f9107b6df81b19101,92111700.0,1.0
23148,PROC-9175497,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 12:00 pm,"The GRDC is seeking applications for Tactics to improve crop establishment in a drying soil profile in the Albany, Esperance, Kwinana East, Geraldton port zones.",Tactics to improve crop establishment in a drying soil profile in the Western Region,6159c38f9107b6df81b1910e,70140000.0,1.0
23151,PROC-9175493,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Crop agronomy packages for current and emerging high rainfall zone (HRZ) growers in the Albany and Esperance port zones.,Crop agronomy packages for current and emerging high rainfall zone (HRZ) growers in the Western Region,6159c38f9107b6df81b19111,70140000.0,1.0
23152,PROC-9175494,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,"The GRDC is seeking applications for Snails, slugs and slaters in Western Australia:  Case studies of growers in WA’s southern coastal region – An initiative of the Albany and Esperance port zone Regional Cropping Solutions Network","Snails, slugs and slaters in Western Australia: Case studies of growers in WA's southern coastal region",6159c38f9107b6df81b19112,70140000.0,1.0
23153,PROC-9175495,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Demonstrations of legumes crops for reliable profitability in the Western Region  ,Demonstrations of legumes crops for reliable profitability in the Western Region,6159c38f9107b6df81b19113,70140000.0,1.0
23154,PROC-9175507,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Best practice glyphosate use for Esperance port zone growers,Best practice glyphosate use for Esperance port zone growers,6159c38f9107b6df81b19114,70140000.0,1.0
23155,PROC-9175496,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Making lupins profitable again in the northern wheat belt of the Western Region  ,Making lupins profitable again in the northern wheat belt of the Western Region,6159c38f9107b6df81b19115,70140000.0,1.0
23156,PROC-9175498,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Assessment of some harvest weed seed management options for Geraldton port zone,Assessment of some harvest weed seed management options for Geraldton port zone,6159c38f9107b6df81b19116,70140000.0,1.0
23157,PROC-9175499,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for ‘Yardstick’ Demonstrations for the Western Region ,'Yardstick' Demonstrations for the Western Region,6159c38f9107b6df81b19117,70140000.0,1.0
23158,PROC-9175502,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Simple identification of on-farm lime sources in the Western Region,Simple identification of on-farm lime sources in the Western Region,6159c38f9107b6df81b19118,70140000.0,1.0
23159,PROC-9175500,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Identification of limiting factors providing the biggest ROI for growers in the Kwinana East port zone.,Identification of limiting factors providing the biggest ROI for growers in the Kwinana East port zone.,6159c38f9107b6df81b19119,70140000.0,1.0
23160,PROC-9175503,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for A review of Seeding Systems that provide improved crop establishment for Growers in the Kwinana East port Zone.,A review of Seeding Systems that provide improved crop establishment for Growers in the Western Region,6159c38f9107b6df81b1911a,70140000.0,1.0
23161,PROC-9175504,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,The GRDC is seeking applications for Focus Farms fighting weed foes in the Kwinana West port zone,Focus Farms fighting weed foes in the Kwinana West port zone,6159c38f9107b6df81b1911b,70140000.0,1.0
23162,PROC-9175505,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,Optimising timing and rate of Nitrogen application in waterlogging conditions in the Albany and Esperance port zones.,Optimising timing and rate of Nitrogen application in waterlogging conditions in the Western Region,6159c38f9107b6df81b1911c,70140000.0,1.0
23163,PROC-9175518,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,"The GRDC is seeking applications for Summer Cropping Demonstrations for the Albany, Esperance, Kwinana East and Geraldton Port Zones. ",Summer Cropping Demonstrations in the Western Region,6159c38f9107b6df81b1911d,70140000.0,1.0
23164,PROC-9175491,Grains Research and Development Corporation,Crop production and management and protection,12-Jan-18 5:00 pm,"The GRDC is seeking applications for  ‘Ripper Gauge’ Demonstration Sites in the Albany, Esperance, Kwinana East, Kwinana West port zones",'Ripper Gauge' Demonstration Sites in the Western Region,6159c38f9107b6df81b1911e,70140000.0,1.0
23167,Proc-9175501,Grains Research and Development Corporation,Crop production and management and protection,15-Jan-18 5:00 pm,"The Australian canola industry has produced on average 3.5 million tonnes annually over the past 5 years, with exports alone resulting in $1.6 billion annually. In addition to direct profits from canola production, canola is an essential part of the cropping system, providing significant and reliable yield benefits through the control of diseases and weeds for subsequent cereal crops. The projection for the Australian canola industry is to produce 6.1 million tonnes per year by 2025 (Australian Oilseeds Federation). Some of the main limitations to this expansion and threats to the canola industry are from diseases, especially those caused by fungi. Without the continual control of diseases such as blackleg and sclerotinia stem rot, the canola industry cannot be sustainable or profitable. Furthermore, with the continual expansion of the canola industry the impact of these diseases will only increase due to the intensification of rotations and greater amounts of disease inoculum. The total estimated area planted with canola in 2016 was 615,661 hectares (Northern region), 654,023 hectares (Southern region) and 2,541,302 hectares (Western region) with an average of at least 50% of this being impacted by diseases particularly in the medium-high rainfall zones. The price per tonne in 2016/2017 was $520 and the yield was estimated at 1.4 tonnes per hectare averaged across all regions. With 15% diseases impact, the cost to the industry was over $200M. The aim of this research is to further develop the existing national canola pathology program to maintain the profitability of the canola industry. The project will monitor all diseases of canola and provide information to farmers regarding management of these diseases and risk of yield loss ensuring enduring profitability to the Australian canola growers.","National Canola Pathology Program – epidemiology, surveillance and management strategies",6159c38f9107b6df81b19121,70140000.0,1.0
23182,PROC-9175512,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,GRDC invites tenders from suitable contractor(s) to establish a participatory pilot program to develop and promote tools to better use Bureau of Meteorology weather data and seasonal outlook forecasts.  A small group of advisors will be up-skilled and their knowledge and experiences used to better understand the implications of seasonal forecasts and strategies to manage risk and increase profitability.  The information generated from the program will enable the development of guidelines and “rules of thumb”. It is expected that this investment will draw upon and add value to existing related investments including the outcomes of the Managing Climate Variability R&D Program and the Forewarned is forearmed: equipping farmers and agricultural value chains to proactively manage the impacts of extreme climate events Rural R&D for Profit investment.   This proposed investment would be undertaken over a two-year period from 1 March 2018 to 29 February 2020 and will be delivered across the GRDC Southern Region.,Using seasonal forecast information and tools to manage risk and increase profitability in the Southern Region,6159c38f9107b6df81b19130,70140000.0,1.0
23183,PROC-9175509,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,"GRDC invites tenders from suitable contractor(s) for that this investment will involve a number of large scale replicated demonstration trials to validate the economic benefit of different weed control tactics when integrated into various locally relevant best management programs. This may include a comparison of grower standard practice with a ‘take-no-prisoners’ approach; a tactical strategy responsive to seasonal conditions; and a ‘best-bet’ strategy. The investment will utilise a series of demonstration trials, extension and communication activities to build upon the extensive historic and current R,D&E undertaken in the area of weed management. The project will utilise existing information generated from GRDC investments including Weed management in the southern region mixed farming systems - strategies to combat herbicide resistance, Harvest Weed Seed Control (HWSC), Stubble Initiative, Pastures in crop sequencing and others.  It is also expected that the delivery of this investment will complement and value-add to the GRDC Cultural Weed Management investment.  This proposed investment would be undertaken over a two-year period, commencing from March 01, 2018 and concluding on May 29, 2020, and will be delivered across the major grain growing areas of the high rainfall districts of the GRDC Southern Region.  ",Development of local strategies to enable the integrated & profitable management of Annual ryegrass seed banks in HRZ,6159c38f9107b6df81b19131,70140000.0,1.0
23184,PROC-9175511,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,"GRDC invites tenders from suitable contractor(s) to provide growers and advisers in the southern region with enhanced capacity and skills to assess the economic impact of the adoption of various precision agriculture (PA) technologies in order to make informed business decisions. This will be achieved by identifying key technologies and situations where PA has been proven to consistently improve the profitability of cropping systems; developing a simple decision matrix and related tools to support PA decision making; producing relevant high impact communications and extension activities to promote awareness and build the skills, knowledge and confidence to motivate growers and advisers to realise the profitability opportunities presented by the broader adoption of PA in the GRDC Southern region.  This proposed investment would be undertaken over a two-year period from 1 March 2018 to 29 February 2020 and will be delivered across the GRDC Southern Region.",Assessing the economic value of precision agricultural tools for grain farming businesses in the Southern Region,6159c38f9107b6df81b19132,70140000.0,1.0
23185,PROC-9175513,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,"GRDC invites tenders from suitable contractor(s) to provide growers and advisers across the GRDC Southern Region with information and tools to identify opportunities and strategies to better integrate cropping and livestock enterprises and increase the profitability and resilience of the whole farm business. This will be achieved by conducting extension and communication activities to increase awareness and further extend the research outcomes, tools and information previously generated by the G&G program to build grower and advisor skills and knowledge, and drive adoption of improved management practices. The investment will also include strategic update and improvement of existing tools and resources as detailed in the project outputs.  This proposed investment would be undertaken over a two-year period from 1 March 2018 to 29 February 2020 and will be delivered across the GRDC Southern Region.  ",Manage risk & opportunities to improve farm profit through integration of cropping & livestock in the Southern Region,6159c38f9107b6df81b19133,70140000.0,1.0
23186,PROC-9175517,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,"GRDC invites tenders from suitable contractor(s) to develop, promote and deliver a number of high impact communication products and extension activities to raise awareness and build knowledge relating to the risk, occurrence, impact and management of insecticide resistance. This investment should support practice change required to increase the incidence and extent of adoption of sustainable and cost-effective integrated pest management strategies tailored to local farming systems and environment for key insect pests of grain crops in the GRDC Southern Region. Activities must address the current attitudes of growers, advisors and agribusiness and aim to motivate them to implement best practice IPM strategies on-farm.  This proposed investment would be undertaken over a two-year period from 1 May 2018 to 30 April 2020 and will be delivered across the GRDC Southern Region.  ",Sustainable use of insecticides & on-farm implementation of integrated pest management strategies in the Southern region,6159c38f9107b6df81b19134,70140000.0,1.0
23187,PROC-9175514,Grains Research and Development Corporation,Crop production and management and protection,19-Jan-18 5:00 pm,"GRDC invites tenders from suitable contractor(s) to develop strategically timed, impactful and targeted communications to remind growers, advisors and spray operators of the risk of off-target impacts and importance of implementation of strategies that maximise the efficacy, safety and return of crop protection spend and promote relevant resources including the GRDC Spray Application GrowNotes™ manual and other useful resources. Identifying any gaps and opportunities for future R,D&E will also inform potential future investment by GRDC in assisting growers and advisors to make informed spraying decisions.  This proposed investment would be undertaken over a two-year period from 1 March 2018 to 31 December 2019 and will be delivered across the GRDC Southern Region.  ",Applied workshops & communications to promote effective spray applications in the Southern Region,6159c38f9107b6df81b19135,70140000.0,1.0
23190,PROC-9175525,Grains Research and Development Corporation,Crop production and management and protection,22-Jan-18 5:00 pm,"The GRDC seeks to enhance nitrogen (N) fixation of winter pulse crops through improved rhizobial strains for hostile soils and enhanced inoculation practices that minimise the potential impact of fertiliser and crop protection applications, and maximise rhizobial survival, nodulation and nodule function. These improvements will broaden the adaptation of pulses onto soil types and areas where they are currently not widely cultivated. This three year R&D investment, starting early 2018, will be supported by a separate extension and communication investment to promote awareness of nodulation and N fixation in pulses, and adoption of best inoculation practices.","Increasing N fixation in pulse crops through improved rhizobia, inoculation and crop management practices",6159c38f9107b6df81b19138,70140000.0,1.0
23193,PROC-9175487,Grains Research and Development Corporation,Crop production and management and protection,22-Jan-18 5:00 pm,"GRDC invites tenders for the development of sound agronomic knowledge and supporting data allowing growers to improve crop establishment and decrease seed costs with conventional air-seeders for canola, lentil and faba bean in the southern region, and canola, wheat and lupin in the western region, and consider the costs and benefits of precision planters. This three and half year investment will involve field trials, machinery demonstrations, growers surveys and extension of results to growers. ","Optimising plant establishment, density & spacings to maximise crop yield & profit in the southern and western regions",6159c38f9107b6df81b1913b,70140000.0,1.0
