category,title,desc,id,text,is_on
Education and Training Services,Distribution and Training in a Remote Indigenous Professional Development Package to Support the Early Years Learning Framework,Deliver and provide face to face training in the use of the Remote Indigenous Professional Development Package to support the Early Years Learning Framework to Indigenous educators in remote early childhood services,Tenders6162aa1fe1b7f5c73e6fe4f9,Distribution and Training in a Remote Indigenous Professional Development Package to Support the Early Years Learning Framework.Deliver and provide face to face training in the use of the Remote Indigenous Professional Development Package to support the Early Years Learning Framework to Indigenous educators in remote early childhood services,0
Education and Training Services,Murray-Darling Basin Authority Leadership Development Program,Development and delivery of a Leadership Development Program for Authority employees at Executive Levels 1 and 2 for the period 2011/12 to 2013/14 ,Tenders6162aa1fe1b7f5c73e6fe4fa,Murray-Darling Basin Authority Leadership Development Program.Development and delivery of a Leadership Development Program for Authority employees at Executive Levels 1 and 2 for the period 2011/12 to 2013/14 ,0
Management advisory services,Oversight to Direct Financing Support to Education in Papua New Guinea,"From 2011, Australian assistance to the Papua New Guinea (PNG) education sector will be delivered through a mixture of funding types and instruments. One of these is Direct Financing Support (DFS). DFS will use the government of PNG s financial management and reporting systems to deliver school grants and other initiatives, including support to provincial administrations and facility grants. ",Tenders6162aa1fe1b7f5c73e6fe4fb,"Oversight to Direct Financing Support to Education in Papua New Guinea.From 2011, Australian assistance to the Papua New Guinea (PNG) education sector will be delivered through a mixture of funding types and instruments. One of these is Direct Financing Support (DFS). DFS will use the government of PNG s financial management and reporting systems to deliver school grants and other initiatives, including support to provincial administrations and facility grants. ",0
Education and Training Services,"Hosting, maintenance and further development of the Building Education Revolution Cost Analysis Model (BER-CAM)","DEEWR is seeking a supplier that will host, support and promote the further development/enhancement and maintenance of BER-CAM over the next four years. A core element of this enhancement relates to the promotion of BER-CAM to education authorities as a valuable benchmarking tool relating to the cost of school building construction, thereby encouraging them to provide updated data to ensure the currency of the database as a benchmarking tool.",Tenders6162aa1fe1b7f5c73e6fe4fc,"Hosting, maintenance and further development of the Building Education Revolution Cost Analysis Model (BER-CAM).DEEWR is seeking a supplier that will host, support and promote the further development/enhancement and maintenance of BER-CAM over the next four years. A core element of this enhancement relates to the promotion of BER-CAM to education authorities as a valuable benchmarking tool relating to the cost of school building construction, thereby encouraging them to provide updated data to ensure the currency of the database as a benchmarking tool.",0
Disease prevention and control,Provision of services to develop a quality framework for the Healthy Workers initiative.,"The  Australian Government Department of Health and Ageing (the Department) is  seeking to engage a suitably qualified and capable organisation or consortium  with appropriate expertise to develop a quality framework for workplace health  programs, providers and workplaces under the Healthy Workers initiative, using  the Quality Framework developed for the Healthy Communities Initiative as a  basis for further consultation. ",Tenders6162aa1fe1b7f5c73e6fe4fd,"Provision of services to develop a quality framework for the Healthy Workers initiative..The  Australian Government Department of Health and Ageing (the Department) is  seeking to engage a suitably qualified and capable organisation or consortium  with appropriate expertise to develop a quality framework for workplace health  programs, providers and workplaces under the Healthy Workers initiative, using  the Quality Framework developed for the Healthy Communities Initiative as a  basis for further consultation. ",0
Education and Training Services,Development of Photo Stories on Money Management Topic,ASIC is creating a comprehensive resource kit on key financial literacy issues for community settlement workers who work with newly arrived culturally and linguistically diverse (CALD) communities.  Community settlement workers will use the kit to deliver the compulsory money management topic of the Department of Immigration and Citizenship (DIAC) onshore orientation framework to newly arrived humanitarian entrants in Australia.  This will build the money management knowledge and skills of both the community settlement workers and the newly arrived CALD communities.,Tenders6162aa1fe1b7f5c73e6fe4fe,Development of Photo Stories on Money Management Topic.ASIC is creating a comprehensive resource kit on key financial literacy issues for community settlement workers who work with newly arrived culturally and linguistically diverse (CALD) communities.  Community settlement workers will use the kit to deliver the compulsory money management topic of the Department of Immigration and Citizenship (DIAC) onshore orientation framework to newly arrived humanitarian entrants in Australia.  This will build the money management knowledge and skills of both the community settlement workers and the newly arrived CALD communities.,0
Education and Training Services,Panel Arrangement - Online and Digital Resources: Professional development and classroom resources,Panel Arrangement - Online and Digital Resources: Professional development and classroom resources ,Tenders6162aa1fe1b7f5c73e6fe4ff,Panel Arrangement - Online and Digital Resources: Professional development and classroom resources.Panel Arrangement - Online and Digital Resources: Professional development and classroom resources ,0
Economics,Industry Profiling and Benefit/Cost Analysis Consultancy Report on Perfluorooctane Sulphonate (PFOS),"The Australian Government, as represented by DSEWPaC, is a Party to the Stockholm Convention, an international treaty on Persistent Organic Pollutants (POPs).  The international Parties agreed in May 2009 to add nine new chemicals to the Convention s Annexes, including perfluorooctane sulfonate (as defined under the Stockholm Convention).     PFOS has been and is currently used by Australian industry. Consultancy services are required: (1) to develop an accurate and up to date profile of the use of PFOS by Australian industry in articles and products and in chemical formulations; (2) to develop in close collaboration with DSEWPaC, feasible domestic implementation options that would meet the obligations under the Convention relating to PFOS use and PFOS-waste and an assessment of their likely efficacy; and (3) a benefit/cost analysis (BCA) of the feasible domestic implementation options that could give effect to obligations under the Stockholm Convention.  ",Tenders6162aa1fe1b7f5c73e6fe500,"Industry Profiling and Benefit/Cost Analysis Consultancy Report on Perfluorooctane Sulphonate (PFOS).The Australian Government, as represented by DSEWPaC, is a Party to the Stockholm Convention, an international treaty on Persistent Organic Pollutants (POPs).  The international Parties agreed in May 2009 to add nine new chemicals to the Convention s Annexes, including perfluorooctane sulfonate (as defined under the Stockholm Convention).     PFOS has been and is currently used by Australian industry. Consultancy services are required: (1) to develop an accurate and up to date profile of the use of PFOS by Australian industry in articles and products and in chemical formulations; (2) to develop in close collaboration with DSEWPaC, feasible domestic implementation options that would meet the obligations under the Convention relating to PFOS use and PFOS-waste and an assessment of their likely efficacy; and (3) a benefit/cost analysis (BCA) of the feasible domestic implementation options that could give effect to obligations under the Stockholm Convention.  ",0
Military science and research,Capability and Technology Demonstrator Program - Request for Initial Proposals,Defence is seeking industry proposals for participation in the next round of the CTD Program.,Tenders6162aa1fe1b7f5c73e6fe501,Capability and Technology Demonstrator Program - Request for Initial Proposals.Defence is seeking industry proposals for participation in the next round of the CTD Program.,0
Education and Training Services,Academic Services for Maritime Studies,"Provide Academic Services for the Maritime Studies Program of the Military Studies – Maritime module at the Australian Command and Staff College (ACSC) within the Australian Defence College (ADC). The ACSC is seeking an educational institution to work in partnership to develop and deliver a post-graduate study program to Australian and International military officers.     The successful provider, in collaboration with ACSC, will deliver the program to up to 50 student participants at the Australian Defence College at Weston in the ACT. The program will be delivered in accordance with the ACSC program from 2012 to 2014, the possibility of a six extensions of twelve months each. ",Tenders6162aa1fe1b7f5c73e6fe502,"Academic Services for Maritime Studies.Provide Academic Services for the Maritime Studies Program of the Military Studies – Maritime module at the Australian Command and Staff College (ACSC) within the Australian Defence College (ADC). The ACSC is seeking an educational institution to work in partnership to develop and deliver a post-graduate study program to Australian and International military officers.     The successful provider, in collaboration with ACSC, will deliver the program to up to 50 student participants at the Australian Defence College at Weston in the ACT. The program will be delivered in accordance with the ACSC program from 2012 to 2014, the possibility of a six extensions of twelve months each. ",0
Management advisory services,Indonesia Deployee Support Services (DSSI),"Managing contractors are currently engaged by AusAID to provide in-country logistics and related procurement and management support services for staff deployed in several regional countries including Indonesia. Through the DSSI, AusAID will provide support to Australian Public Servants (APS) and some other personnel and their families as required, to work effectively and without concern by providing safe and secure residential accommodation, on-going maintenance of housing, vehicles and working communications.   Separately, AusAID is also tendering for services to Solomon Islands, Nauru and Papua New Guinea.",Tenders6162aa1fe1b7f5c73e6fe503,"Indonesia Deployee Support Services (DSSI).Managing contractors are currently engaged by AusAID to provide in-country logistics and related procurement and management support services for staff deployed in several regional countries including Indonesia. Through the DSSI, AusAID will provide support to Australian Public Servants (APS) and some other personnel and their families as required, to work effectively and without concern by providing safe and secure residential accommodation, on-going maintenance of housing, vehicles and working communications.   Separately, AusAID is also tendering for services to Solomon Islands, Nauru and Papua New Guinea.",0
Education and Training Services,PROVISION OF CERTIFICATE II AIR CONDITIONING TRAINING FOR THE ARMY LOGISTIC TRAINING CENTRE (ALTC),Headquarters Forces Command (HQ FORCOMD) invites responses to a Request for Tender (RFT) for the provision of the Certificate II in Air Conditioning Training for the Army Logistic Training Centre (ALTC).  ,Tenders6162aa1fe1b7f5c73e6fe504,PROVISION OF CERTIFICATE II AIR CONDITIONING TRAINING FOR THE ARMY LOGISTIC TRAINING CENTRE (ALTC).Headquarters Forces Command (HQ FORCOMD) invites responses to a Request for Tender (RFT) for the provision of the Certificate II in Air Conditioning Training for the Army Logistic Training Centre (ALTC).  ,0
Education and Training Services,Learning management system for online teacher professional development,"ASIC is seeking to appoint a provider who can supply an externally hosted, ASIC branded, secure Learning Management System (LMS)",Tenders6162aa1fe1b7f5c73e6fe505,"Learning management system for online teacher professional development.ASIC is seeking to appoint a provider who can supply an externally hosted, ASIC branded, secure Learning Management System (LMS)",0
Management advisory services,Provision of Airport Building Control Services at Leased Federal Airports,The Department of Infrastructure and Transport ( the Department ) wishes to engage qualified building certifiers/surveyors to provide airport building controller (ABC) services for leased federal airports.     ,Tenders6162aa1fe1b7f5c73e6fe506,Provision of Airport Building Control Services at Leased Federal Airports.The Department of Infrastructure and Transport ( the Department ) wishes to engage qualified building certifiers/surveyors to provide airport building controller (ABC) services for leased federal airports.     ,0
Management advisory services,REOI - National Land and Planning Data - 2D and 3D Mapping System,Development of a 2D and 3D mapping system capable of meeting the NCA s 2D and 3D mapping requirements.,Tenders6162aa1fe1b7f5c73e6fe507,REOI - National Land and Planning Data - 2D and 3D Mapping System.Development of a 2D and 3D mapping system capable of meeting the NCA s 2D and 3D mapping requirements.,0
Education and Training Services,Helping Our Kids Understand Finance – Professional Learning Package,Professional Learning Packages,Tenders6162aa1fe1b7f5c73e6fe508,Helping Our Kids Understand Finance – Professional Learning Package.Professional Learning Packages,0
Education and Training Services,Marine Radio Operator Certification Services,Marine radio operator certification services including the conduct of examinations and the issuing of certificates of proficiency.,Tenders6162aa1fe1b7f5c73e6fe509,Marine Radio Operator Certification Services.Marine radio operator certification services including the conduct of examinations and the issuing of certificates of proficiency.,0
Management advisory services,Provision of a Consultancy to undertake a Strategic Alignment Review,"The Department has been in existence now for over 3 years, having been established in 2008.  It is an appropriate time to consider the alignment of staff and fiscal resources with the Government; strategic priorities and to look for opportunities, for efficiencies and improvements in outcomes.      Accordingly, the Department invites suitably qualified consultants/contractors to submit a tender to undertake a consultancy for a Strategic Alignment Review.   ",Tenders6162aa1fe1b7f5c73e6fe50a,"Provision of a Consultancy to undertake a Strategic Alignment Review.The Department has been in existence now for over 3 years, having been established in 2008.  It is an appropriate time to consider the alignment of staff and fiscal resources with the Government; strategic priorities and to look for opportunities, for efficiencies and improvements in outcomes.      Accordingly, the Department invites suitably qualified consultants/contractors to submit a tender to undertake a consultancy for a Strategic Alignment Review.   ",0
Education and Training Services,APS Talent Management System,"  Design, develop and deliver APS Talent Management System.",Tenders6162aa1fe1b7f5c73e6fe50b,"APS Talent Management System.  Design, develop and deliver APS Talent Management System.",0
Management advisory services,"Health check on the Preparedness, Personnel and Operating Costs (PPOC) stream of the Strategic Reform Program (SRP).","The Strategic Reform and Governance Executive (SRGE) is responsible for providing oversight, integration, coordination and reporting of the SRP. As agreed by Government as part of the SRP Implementation Plan, SRGE conducts  Health Checks  which supplement other SRP reporting by providing an assessment of reform stream governance frameworks, program management and planning, dependencies and risks, and alignment to overall SRP objectives.",Tenders6162aa1fe1b7f5c73e6fe50c,"Health check on the Preparedness, Personnel and Operating Costs (PPOC) stream of the Strategic Reform Program (SRP)..The Strategic Reform and Governance Executive (SRGE) is responsible for providing oversight, integration, coordination and reporting of the SRP. As agreed by Government as part of the SRP Implementation Plan, SRGE conducts  Health Checks  which supplement other SRP reporting by providing an assessment of reform stream governance frameworks, program management and planning, dependencies and risks, and alignment to overall SRP objectives.",0
Management advisory services,Establishment of a Clean Energy Advice Panel,"The Department of Resources, Energy and Tourism (the Department) invites suitably qualified consultants/ contractors to submit a tender for the provision of independent expert advice regarding renewable energy and low emissions energy policies, programs and projects administered primarily by the Clean Energy Division of the Department. ",Tenders6162aa1fe1b7f5c73e6fe50d,"Establishment of a Clean Energy Advice Panel.The Department of Resources, Energy and Tourism (the Department) invites suitably qualified consultants/ contractors to submit a tender for the provision of independent expert advice regarding renewable energy and low emissions energy policies, programs and projects administered primarily by the Clean Energy Division of the Department. ",0
Education and Training Services,Development and Delivery of Suicide Risk Assessment Training,The Australian Defence Force Suicide Prevention Program (SPP) has been a key initiative of the ADF Mental Health Strategy since its inception in 2002. The Department of Defence has released policy to address the management procedures for an ADF member at risk of suicide and to provide clinical guidelines for primary care providers. Formal training in the management and guidelines is yet to be delivered to the Defence mental health workforce.,Tenders6162aa1fe1b7f5c73e6fe50e,Development and Delivery of Suicide Risk Assessment Training.The Australian Defence Force Suicide Prevention Program (SPP) has been a key initiative of the ADF Mental Health Strategy since its inception in 2002. The Department of Defence has released policy to address the management procedures for an ADF member at risk of suicide and to provide clinical guidelines for primary care providers. Formal training in the management and guidelines is yet to be delivered to the Defence mental health workforce.,0
Education and Training Services,Management and Provision of Language Tuition Services,  DFAT seeks to engage a Service Provider to manage and deliver high quality language tuition services. The service provider will manage the delivery of language tuition services of the highest standard to employees preparing for overseas postings and to employees maintaining language skills in Australia (primarily in Canberra).  ,Tenders6162aa1fe1b7f5c73e6fe50f,Management and Provision of Language Tuition Services.  DFAT seeks to engage a Service Provider to manage and deliver high quality language tuition services. The service provider will manage the delivery of language tuition services of the highest standard to employees preparing for overseas postings and to employees maintaining language skills in Australia (primarily in Canberra).  ,0
Education and Training Services,Australia s Education Partnership with Indonesia – Education Partnership Outreach Services,Indonesia: Media and Public Affairs Services Associated with Education Sector Support Program,Tenders6162aa1fe1b7f5c73e6fe510,Australia s Education Partnership with Indonesia – Education Partnership Outreach Services.Indonesia: Media and Public Affairs Services Associated with Education Sector Support Program,0
Education and Training Services,Behaviour and values training,Culture change program - training,Tenders6162aa1fe1b7f5c73e6fe511,Behaviour and values training.Culture change program - training,0
Management advisory services,"Provision of Staffing, Retail and Operations Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea","Staffing, Retail and Operations Services for the Australian Pavilion at Yeosu Expo 2012",Tenders6162aa1fe1b7f5c73e6fe512,"Provision of Staffing, Retail and Operations Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea.Staffing, Retail and Operations Services for the Australian Pavilion at Yeosu Expo 2012",0
Management advisory services,"Provision of Communications and Public Affairs Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea","Provision of Communications and Public Affairs Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea",Tenders6162aa1fe1b7f5c73e6fe513,"Provision of Communications and Public Affairs Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea.Provision of Communications and Public Affairs Services for the Australian Pavilion at the International Exposition 2012, Yeosu Korea",0
Education and Training Services,Provision of training material to increase employment participation for people with mental illness.,Training material to assist people with mental illness into employment,Tenders6162aa1fe1b7f5c73e6fe514,Provision of training material to increase employment participation for people with mental illness..Training material to assist people with mental illness into employment,0
Education and Training Services,Provision of Driver Training Services,  This RFT seeks responses from suitably qualified and experienced service providers for the provision of Driver Training services. The AFP wishes to establish a panel arrangement for these services.      ,Tenders6162aa1fe1b7f5c73e6fe515,Provision of Driver Training Services.  This RFT seeks responses from suitably qualified and experienced service providers for the provision of Driver Training services. The AFP wishes to establish a panel arrangement for these services.      ,0
Management advisory services,The Development and Validation of an Assessment Framework and the Needs Identification Tool for Aged Care and Carers (NITACC) for the new front end for aged care,The Department of Health and Ageing is seeking tenders from  capable and experienced individuals or organisations to assist in the  development and validation of an Assessment Framework and the Needs  Identification Tool for Aged Care and Carers (NITACC) for the new front end for  aged care.,Tenders6162aa1fe1b7f5c73e6fe516,The Development and Validation of an Assessment Framework and the Needs Identification Tool for Aged Care and Carers (NITACC) for the new front end for aged care.The Department of Health and Ageing is seeking tenders from  capable and experienced individuals or organisations to assist in the  development and validation of an Assessment Framework and the Needs  Identification Tool for Aged Care and Carers (NITACC) for the new front end for  aged care.,0
Military science and research,Defence Simulation Support Panel,Defence seeks suppliers that can provide simulation services.,Tenders6162aa1fe1b7f5c73e6fe517,Defence Simulation Support Panel.Defence seeks suppliers that can provide simulation services.,0
Education and Training Services,Establishment of Panel of Providers for Learning and Development Programs,The department invites suitably qualified consultants/contractors to submit a tender to become part of a panel of providers who will develop and deliver a range of programs for a period of up to five years commencing 13 January 2012.,Tenders6162aa1fe1b7f5c73e6fe518,Establishment of Panel of Providers for Learning and Development Programs.The department invites suitably qualified consultants/contractors to submit a tender to become part of a panel of providers who will develop and deliver a range of programs for a period of up to five years commencing 13 January 2012.,0
Education and Training Services,Asset Based Community Development Training,Asset Based Community Development Training,Tenders6162aa1fe1b7f5c73e6fe519,Asset Based Community Development Training.Asset Based Community Development Training,0
Economic analysis,Regulation Impact Statements for the Gas Appliance (Carbon Monoxide) Safety Strategy and Quantitative Risk Assessment,"Quantitative Risk Assessment on carbon monoxide poisoning in households and recreational vehicles, and Regulation Impact Statements.",Tenders6162aa1fe1b7f5c73e6fe51a,"Regulation Impact Statements for the Gas Appliance (Carbon Monoxide) Safety Strategy and Quantitative Risk Assessment.Quantitative Risk Assessment on carbon monoxide poisoning in households and recreational vehicles, and Regulation Impact Statements.",0
Management advisory services,Australian Antarctic Division sub-agency of DSEWPaC commences 25 July 2011,"The Australian Antarctic Division (AAD) is a division of the Department of Sustainability, Environment, Water, Population and Communities (DSEWPaC). Historically, AAD has had its own agency profile on AusTender. From 25 July 2011, AAD s agency profile will be moved to appear as a sub-agency of DSEWPaC.",Tenders6162aa1fe1b7f5c73e6fe51b,"Australian Antarctic Division sub-agency of DSEWPaC commences 25 July 2011.The Australian Antarctic Division (AAD) is a division of the Department of Sustainability, Environment, Water, Population and Communities (DSEWPaC). Historically, AAD has had its own agency profile on AusTender. From 25 July 2011, AAD s agency profile will be moved to appear as a sub-agency of DSEWPaC.",0
Management advisory services,New Department of Human Services commences 1 July 2011,"From 1 July 2011 the new Department of Human Services (DHS) will commence operation. This new Department is an amalgamation of the current Human Services portfolio agencies Centrelink, Medicare Australia and DHS.",Tenders6162aa1fe1b7f5c73e6fe51c,"New Department of Human Services commences 1 July 2011.From 1 July 2011 the new Department of Human Services (DHS) will commence operation. This new Department is an amalgamation of the current Human Services portfolio agencies Centrelink, Medicare Australia and DHS.",0
Management advisory services,Approaches to Market (ATM) advertised from 1 July 2011,For information only.  New Approaches to Market (ATM) advertised from 1 July 2011 for Centrelink will appear under Department of Human Services agency listing.,Tenders6162aa1fe1b7f5c73e6fe51d,Approaches to Market (ATM) advertised from 1 July 2011.For information only.  New Approaches to Market (ATM) advertised from 1 July 2011 for Centrelink will appear under Department of Human Services agency listing.,0
Management advisory services,Approaches to Market (ATM) advertised from 1 July 2011, ,Tenders6162aa1fe1b7f5c73e6fe51e,Approaches to Market (ATM) advertised from 1 July 2011. ,0
Military science and research,Support in the Field of Weapons Lethality for Project Air 6000,DSTO requires support in the field of weapons lethality for project AIR 6000. Support is required for modelling of the lethality of missile warheads against aircraft and missile targets. Support is also required in the conduct of experiments related to the effect of missile warheads on aircraft components. The associated experimental program will inform the accuracy of the modelling exercises.      ,Tenders6162aa1fe1b7f5c73e6fe51f,Support in the Field of Weapons Lethality for Project Air 6000.DSTO requires support in the field of weapons lethality for project AIR 6000. Support is required for modelling of the lethality of missile warheads against aircraft and missile targets. Support is also required in the conduct of experiments related to the effect of missile warheads on aircraft components. The associated experimental program will inform the accuracy of the modelling exercises.      ,0
Economic analysis,Revenue Assurance Services Panel,Specialist skills for Revenue assurance services,Tenders6162aa1fe1b7f5c73e6fe520,Revenue Assurance Services Panel.Specialist skills for Revenue assurance services,0
Education and Training Services,Australia Development Scholarships (ADS) Indonesia Phase IIIB in-Indonesia Management,"Indonesia:Australian Development Scholarships Phase III The key service areas of Phase IIIB of the scholarship program will include the management of strategic promotions, applications and HRD assistance to Key Agencies & targeted Sectors,  selection processes, provision of English for Academic Purposes (EAP) training and testing IELTS. The service provider will also manage the placement of awardees in appropriate courses of study, mobilisation of awardees, award status management, post award reintegration and support, as well as developing initiatives to inform the next phase of ADS and program management.",Tenders6162aa1fe1b7f5c73e6fe521,"Australia Development Scholarships (ADS) Indonesia Phase IIIB in-Indonesia Management.Indonesia:Australian Development Scholarships Phase III The key service areas of Phase IIIB of the scholarship program will include the management of strategic promotions, applications and HRD assistance to Key Agencies & targeted Sectors,  selection processes, provision of English for Academic Purposes (EAP) training and testing IELTS. The service provider will also manage the placement of awardees in appropriate courses of study, mobilisation of awardees, award status management, post award reintegration and support, as well as developing initiatives to inform the next phase of ADS and program management.",0
Education and Training Services,"Panel Arrangement – Consumer and Financial Literacy Expert Panel – Subject matter experts, Industry experts and Educational technology experts","Panel of expert services in teaching subject matter, consumer and financial literacy and educational technology",Tenders6162aa1fe1b7f5c73e6fe522,"Panel Arrangement – Consumer and Financial Literacy Expert Panel – Subject matter experts, Industry experts and Educational technology experts.Panel of expert services in teaching subject matter, consumer and financial literacy and educational technology",0
Management advisory services,Quality Accreditation Services,This tender is seeking submissions from interested bodies to provide QA services to the VVCS to ensure that VVCS remains a high-quality community-based mental health provider.  DVA s preference is to be accredited in accordance with the Quality Improvement Council (QIC) standards  It is envisaged that the accreditation would be for a period of three years.,Tenders6162aa1fe1b7f5c73e6fe523,Quality Accreditation Services.This tender is seeking submissions from interested bodies to provide QA services to the VVCS to ensure that VVCS remains a high-quality community-based mental health provider.  DVA s preference is to be accredited in accordance with the Quality Improvement Council (QIC) standards  It is envisaged that the accreditation would be for a period of three years.,0
Education and Training Services,Helping Children with Autism - Positive Partnerships,The purpose of this Request for Tender is to engage a National Provider of DEEWR s Positive Partnerships initiative over 2012-15 ,Tenders6162aa1fe1b7f5c73e6fe524,Helping Children with Autism - Positive Partnerships.The purpose of this Request for Tender is to engage a National Provider of DEEWR s Positive Partnerships initiative over 2012-15 ,0
Economic analysis,THE DEVELOPMENT OF THE COMPREHENSIVE PRICING FRAMEWORK,The project will engage a contractor to develop a  comprehensive pricing framework for the Independent Hospital Pricing Authority. ,Tenders6162aa1fe1b7f5c73e6fe525,THE DEVELOPMENT OF THE COMPREHENSIVE PRICING FRAMEWORK.The project will engage a contractor to develop a  comprehensive pricing framework for the Independent Hospital Pricing Authority. ,0
Management advisory services,Actuarial & General Insurance Management Consulting Services,Actuarial & Insurance Consulting Services,Tenders6162aa1fe1b7f5c73e6fe526,Actuarial & General Insurance Management Consulting Services.Actuarial & Insurance Consulting Services,0
Education and Training Services,Configuration Management Courses,Land Systems Division (LSD) seeks to engage the services of a contractor to deliver Configuration Management (CM) training course/s to technical and other staff as required within the Land materiel environment.,Tenders6162aa1fe1b7f5c73e6fe527,Configuration Management Courses.Land Systems Division (LSD) seeks to engage the services of a contractor to deliver Configuration Management (CM) training course/s to technical and other staff as required within the Land materiel environment.,0
Management advisory services,Services of an Executive Director for the National Road Safety Council,The National Road Safety Council (NRSC) is seeking to engage an Executive Director to progress the work of the Council.,Tenders6162aa1fe1b7f5c73e6fe528,Services of an Executive Director for the National Road Safety Council.The National Road Safety Council (NRSC) is seeking to engage an Executive Director to progress the work of the Council.,0
Management advisory services,Activities/Workshops to Defence Small-Medium Enterprises,The Department invites suitably qualified consultants/contractors to submit a tender for the delivery of activities/workshops.,Tenders6162aa1fe1b7f5c73e6fe529,Activities/Workshops to Defence Small-Medium Enterprises.The Department invites suitably qualified consultants/contractors to submit a tender for the delivery of activities/workshops.,0
Economic analysis,Small-Scale Technology Certificates Data Modelling For 2012 to 2014,Small-Scale Technology Certificates Data Modelling for 2012 to 2014,Tenders6162aa1fe1b7f5c73e6fe52a,Small-Scale Technology Certificates Data Modelling For 2012 to 2014.Small-Scale Technology Certificates Data Modelling for 2012 to 2014,0
Management advisory services,Independent Chair for National Mine Safety Framework,"To perform the role of Independent Chair to the National Mine Safety Framework ""Non-Core"" Working Groups to drive the implementation of the endorsed ""non-core"" Drafting Instructions.",Tenders6162aa1fe1b7f5c73e6fe52b,"Independent Chair for National Mine Safety Framework.To perform the role of Independent Chair to the National Mine Safety Framework ""Non-Core"" Working Groups to drive the implementation of the endorsed ""non-core"" Drafting Instructions.",0
Education and Training Services,Talent Development Program,  The Australian Public Service Commission is seeking to engage a provider to co-develop and deliver the services for a Talent Development Program.    The services required include co-development and delivery of an SES Band 2 Talent Development Program in line with the APS Leadership Development Framework and other RFT requirements.,Tenders6162aa1fe1b7f5c73e6fe52c,Talent Development Program.  The Australian Public Service Commission is seeking to engage a provider to co-develop and deliver the services for a Talent Development Program.    The services required include co-development and delivery of an SES Band 2 Talent Development Program in line with the APS Leadership Development Framework and other RFT requirements.,0
Management advisory services,Fiji Community Development Program,"Fiji: Community Development Program: an organisation to improve delivery of services by Civil Society Organisations.  The Contractor will support the implementation of the FCDP, including management of a flexible grant program for service delivery and providing technical advisers to support capacity building activities to strengthened service delivery and management capacities of CSOs in Fiji. ",Tenders6162aa1fe1b7f5c73e6fe52d,"Fiji Community Development Program.Fiji: Community Development Program: an organisation to improve delivery of services by Civil Society Organisations.  The Contractor will support the implementation of the FCDP, including management of a flexible grant program for service delivery and providing technical advisers to support capacity building activities to strengthened service delivery and management capacities of CSOs in Fiji. ",0
Management advisory services,Defence Materiel Organisation Support Services - Request for Tender R001C part 2,"You are invited to submit a tender in response to this Request for Tender (RFT), DMOSS R001C part 2 to  Refresh  the Defence Materiel Organisation (DMO) Support Services Panel (DMOSS), a standing offer panel arrangement.",Tenders6162aa1fe1b7f5c73e6fe52e,"Defence Materiel Organisation Support Services - Request for Tender R001C part 2.You are invited to submit a tender in response to this Request for Tender (RFT), DMOSS R001C part 2 to  Refresh  the Defence Materiel Organisation (DMO) Support Services Panel (DMOSS), a standing offer panel arrangement.",0
Management advisory services,Defence Materiel Organisation Support Services - Request for Tender R001C,"You are invited to submit a tender in response to this Request for Tender (RFT), DMOSS R001C to  Refresh  the Defence Materiel Organisation (DMO) Support Services Panel (DMOSS), a standing offer panel arrangement.",Tenders6162aa1fe1b7f5c73e6fe52f,"Defence Materiel Organisation Support Services - Request for Tender R001C.You are invited to submit a tender in response to this Request for Tender (RFT), DMOSS R001C to  Refresh  the Defence Materiel Organisation (DMO) Support Services Panel (DMOSS), a standing offer panel arrangement.",0
Management advisory services,Best Practice major infrastructure procurement,Identify key aspects driving major infrastructure procurement efficiency and identify benchmarks against those aspects.,Tenders6162aa1fe1b7f5c73e6fe530,Best Practice major infrastructure procurement.Identify key aspects driving major infrastructure procurement efficiency and identify benchmarks against those aspects.,0
Education and Training Services,National Emergency Management and Training Services,National Emergency Management and Training Services,Tenders6162aa1fe1b7f5c73e6fe531,National Emergency Management and Training Services.National Emergency Management and Training Services,0
Education and Training Services,Provison of Language Services to the Department of Defence,Headquarters Forces Command – Army invites responses to a Request for Standing Offer Panel (RFSOP) for the provision of Language Services to the Department of Defence and other Government Agencies as required.,Tenders6162aa1fe1b7f5c73e6fe532,Provison of Language Services to the Department of Defence.Headquarters Forces Command – Army invites responses to a Request for Standing Offer Panel (RFSOP) for the provision of Language Services to the Department of Defence and other Government Agencies as required.,0
Strategic planning consultation services,Development of an evaluation framework for the National Evaluation of the National Partnership Agreement on Preventive Health,The Australian National Preventive Health Agency (ANPHA) is  seeking tenders from capable and experienced individuals or organisations to  develop an evaluation framework for the National Partnership Agreement on  Preventive Health (NPAPH) National Evaluation (the National Evaluation),Tenders6162aa1fe1b7f5c73e6fe533,Development of an evaluation framework for the National Evaluation of the National Partnership Agreement on Preventive Health.The Australian National Preventive Health Agency (ANPHA) is  seeking tenders from capable and experienced individuals or organisations to  develop an evaluation framework for the National Partnership Agreement on  Preventive Health (NPAPH) National Evaluation (the National Evaluation),0
