,BioText,label1,Interests,label2
357," I currently have openings for 1 Research Fellow and
3 PhD positions on robust decision-making and learning
with robotics applications. Some of the positions
are in collaboration with the  , while some
others are in collaboration with  , which provides
full scholarship, funding top-ups, and research
visit/internship opportunities at Safran. Please drop
me an email if you are interested.  I am an Associate
Professor with ANU and CS Futures Fellowship
at the Research School of Computer Science, Australian
National University (ANU). I am also a CI
and exec of a major interdisciplinary project  . I
received a PhD in Computer Science for work in Robot
Motion Planning from the National University of
Singapore under the supervision of David Hsu, and
received a BSc in Computer Science from the University
of Indonesia. I was a faculty member at the
School of ITEE, University of Queensland (UQ). Prior
to UQ, I worked with Nicholas Patrikalakis as
a Research Scientist at the Singapore--MIT Alliance
for Research and Technology, MIT. My research focuses
on algorithms to enable robust decision theory
to become practical software tools, with applications
in robotics and the assurance of autonomous
systems. Such software tools will enable robots to
design their own strategies, such as deciding what
data to use, how to gather the data, and how to
move, for accomplishing various tasks well, despite
various modelling errors and types of uncertainty,
and despite limited to no information about the
system and its operating environment. Along with
colleagues and students, our work was nominated for
the best paper award at IEEE Int. Conf. on Robotics
and Automation (ICRA) 2015 and won a best paper
award at the International Conference on Automated
Planning and Scheduling (ICAPS) 2015. I received
a gold award for ICT researcher of the year 2015
from the Australian Computer Society and was a keynote
speaker at IEEE/RSJ Int. Conf. on Intelligent
Robots (IROS) 2018. Together with my collaborators,
I recently received the Robotics: Science and
Systems 2021 Test of Time Award. ",,More info about my research is,
358,,,"Video games, play experience, HCI, AI, human-AI interaction,
technology policy, digital rights",
368,,,"I'm currently doing a research internship at the ANU
College of Engineering and Computer Science in the
research group of Dr.  . The internship focuses
less on research, but rather on buildling, characterising
and improving measurement setups. My background
is in solid state physics. For my bachelor
thesis I worked in low temperature physics, while
my master thesis focused on the fabrication of organic
solar cells.   ",
369,"Education Work experience  Source codes Ask me questions
at",,Current research interests Past research interests,
376,"Before returning to the ANU in 2013, I spent three
years working as a postdoctoral researcher (collaborateur
scientifique) in the Artificial Intelligence
Laboratory at the Swiss Federal Institute of Techology
Lausanne (EPFL) in Lausanne, Switzerland.
I submitted in my PhD thesis at the ANU in 2010.",,"Artificial intelligence, spatial and temporal reasoning,
computational sustainability, game theory.",
381,,,–  ,
385,,,"Computer Vision 3D reconstruction/structure from motion
Pattern Recognition and image processing",
386,"I am a visiting fellow in the Research School of Computer
Science of ANU for the period 3 January 2017
– 2 January 2018, office: Room N312, 108 North Road,
CSIT building, ANU campus.  I am a Lecturer 
of Computer Science at Jiangxi Normal University,
China.  I received a doctorate in Computer Software
& Theory from Fudan University, China at Jan 2016.
My Supervisor is Prof. Wenyun Zhao. My broad research
area are Software Engineering and Computer
Education, and my specific interests include Software
Developer's Behavior, Software Maintenance and
Reengineering, Software Evolution, Computer Education.
The questions that motivated my research include:
How to help software developers to work collaboratively,
concurrently, and independently from
each other? How to deal with the modules which can
evolve independently in a software system with less
""bad smells"", eg. code clone? Do the modules worthwhile
to refactor? How to detect software quality
problems which need huge effort to maintain?",,"my specific interests include Software Developer's
Behavior, Software Maintenance and Reengineering,
Software Evolution, Computer Education.",
393,"Yu Lin joined the Research School of Computer Science
in September 2016. Prior to this, he was a postdoctoral
fellow at the Department of Computer Science
and Engineering, University of California, San
Diego. His research focuses on computational biology
and bioinformatics, and he has been working on
models and algorithms for genome assembly, metagenomics,
comparative genomics and phylogenetic reconstruction.
 He received his PhD in Computer Science
from École Polytechnique Fédérale de Lausanne (EPFL),
Switzerland. He also holds a master's degree
in Computer Science from Chinese Academy of Sciences
and a bachelor's degree in Computer Science from
at University of Science and Technology of China
(USTC).  He received the Early Career Researcher
Outstanding Contribution Award from the Australian
Bioinformatics and Computational Biology Society
in 2020. He is also the recipient of the Chinese
Government Award for Outstanding Self-Financed Students
Abroad, the Director's Award from Institute
of Computing Technology, Chinese Academy of Sciences,
the Guo Moruo Presidential Award from University
of Science and Technology of China.",,"Computational models and algorithms in:  • Genome Assembly
and Metagenomics Analysis  • Comparative Genomics
and Phylogeny Reconstruction  • Computational
Proteomics and Analytical Chemistry  • Network
Analysis and Data Management  Please visit our group
website   for more information.",
406,,,"3D Vision, 3D scene understanding and modeling, 3D
human pose Estimation/Prediction, geometry-aware representation
for 3D Vision",
410,"Dr Liu received her BEng (Hon, first class) in 2010
and PhD in Engineering (Photovoltaics) in 2015, both
from the ANU. She has since worked as a research
fellow in the solar PV group at School of Engineering,
ANU. She was awarded an ACAP Postdoctoral
Research Fellowship in 2018. Dr Liu's resesarch focuses
on improving the performance and cost-effectiveness
of the solar PV technology through understanding,
and in turn engineering, the impurities and
defects in silicon solar cells. In more recent years,
Dr Liu and her team are working on discovering
and unravelling the gettering (imuprity removal)
effects and mechanisms associated with the commonly
used dielectric films (silicon nitride and aluminium
oxide, for example) and the state-of-the-art
polysilicon-based passivating contacts in silicon
solar cells. Please contact me directly ( ) for
possible Bachelor/Master/PhD projects.",,,
414,,,"Computational logic, agents, declarative programming
languages, and machine learning.",
416,"2012 - 2014 Earthbound journey from Switzerland to
Australia by public transport, bicycle and foot  Research
assistant (II), Institut fuer Solartechnik
SPF, HS Rapperswil, Switzerland  Freelance building
and plant energy analyst/auditor, Bonn, Germany
 B.Eng.(hons), ANU",,"Concentrating solar thermal power (CSP/CST) Fluid Structure
Interaction (FSI) Computational Fluid Dynamics
(CFD) with  Structural integrity modelling of
high temperature metals and alloys with  Numerical
methods in ",
418,,,"My research focuses on nanotechnologies, including
micro/nano-electro-mechanical sensors and actuators,
nano-scale energy conversion devices, biomedical
devices, novel nano materials, etc. I am looking
for highly motivated Ph.D. graduate students who
are majoring in applied physics, electrical engineering,
mechanical engineering, chemistry, materials
science engineering, biomedical engineering, or
other closely related areas to join my research team.
We always look for dedicated undergraduate or
master students to join us, to do creative work in
rapidly growing field and generate co-authored publications.
If you want to know more about my research
area, please visit   MEMS/NEMS based novel biomedical
devices   The ability to detect bio-molecule
at ultra-low concentrations (e.g. atto-molar)
will enable the possibility of detecting diseases
earlier than ever before. A critical challenge for
any new bio-sensing technology is to optimize two
metrics --- shorter analysis time, and higher concentration
sensitivity in clinically relevant small
volumes. Moreover, practical considerations are
equally important: simplicity of use, mass producible
(low cost), and ease of integration within the
clinical structure. Compared with other methods,
nano-electro-mechanical system (NEMS) based bio-sensors
are promising in clinical diagnostics because
of their extremely high mass sensitivity, fast response
time and the capability of integration on
chip. We have demonstrated a low concentration DNA
(atto-molar sensitivity) optically interrogated ultrasonic
mechanical mass sensor, which has ordered
nanowire (NW) array on top of a bilayer membrane.
This method represents a mass-based platform technology
that can sense molecules at low concentrations,
which could be useful for early-stage disease
detection. We can develop this sensor further to
measure an array of biomarkers (e.g. DNA or proteins),
by providing both the needed specificity and
sensitivity in physiological disease (e.g. cancer)
detection.",
423,"I am a PhD student with the at , and works with my
supervisor . Before that, I received the M.S. degree
in control science and engineering from , Shanghai,
China, in 2020, and received the B.S. degree
in Automation from , Nanjing, China, in 2017.",,"Computer vision, image processing, transfer learning,
pattern recognition, and robotics. ",
424,"Bin Lu is a Research Fellow at theAustralian National
University’s School of Engineering. He holds a
PhD in Renewable Energy and a Master’s and a Bachelor’s
degrees in Electrical Engineering.He is a former
senior electrical engineer and has a decade of
work experience in electrical systems design and
providing consulting services to government and industry.His
research interests include energy market
modelling, renewable energy resource assessment,geographic
information systemapplication development,
electrical system design and power system analysis.
Bin Lu was awarded the 2018 Eureka Prize for
Environmental Research with Professor Andrew Blakers
and Dr Matthew Stocks at the Australian National
University's 100% Renewable Energy Team . His
research on 100% renewable energy futures has garnered
an audience of 15 million worldwide.",,,
425,"Dr Lu is a computer science scientist. He graduated
from Zhejiang University in China for his bachelor
degree, completed his Master's degree in The University
of Queensland and pursued his PhD degree at
The Australian National University (ANU). His research
interest is quite broad, from computer networking,
cloud computing, big data, data mining to
e-commerce. He is currently actualising his higher
level personal value using his owning knowledge,
business experience and creative innovation.",,,
426,"Kat is an interdisciplinary researcher based in Melbourne
with 15 years of experience spanning all manner
of energy-related things. She has a PhD in architectural
science from the University of Queensland
which spawned from work as a sustainability consultant
in the building and construction industry.
Kat’s policy experience includes reforming the Victorian
Energy Efficiency Target scheme and working
towards better energy efficiency standards for
housing. More recently, she was responsible for delivering
Chargefox’s ultra-rapid EV charging network
in WA, SA and Victoria. Kat is currently working
on the REVS project, delivering the social science
stream.",,"Electric vehicles Automation vs manual control of human-oriented
spaces Architectural science",
430,"Fei received the Master degree and the Bachelor degree,
Electrical Engineering, from Harbin Institute
of Technology, 2009 – 2015.  Fei worked for the PhD
degree at the Australian National University from
2015 to 2020. Fei worked on active noise control
in ducts,  for headphones, and over 3D space during
the master degree, the Facebook Internship, and
the PhD degree, respectively.",,"Active noise control over space, AR/VR acoustics, Real-time
signal processing.",
435,"Since completing his PhD at ANU in 2001, Dr Macdonald
has worked as a Research Scientist at the Energy
research Centre of the Netherlands (ECN), and at
the ANU where he has held 3 Australian Research Council
funded fellowships (Postdoctoral fellowship
2003-06, QEII fellowship 2007-11 and Future fellowship
2012-15).",,"Crystalline silicon solar cells, in particular the
following aspects: - The characterisation, detection
and reduction of defects and impurities in silicon
solar cells - Recombination and trapping in silicon
- N-type silicon solar cells - Low-cost solar-grade
silicon This research is described in my 
 and has been supported by a number of   You can take
a look at my publication and citation record at
",
439,"Mechatronics Engineering graduate of the University
of Auckland, New Zealand.",,"Research interests include computer vision (in particular,
stereo vision and multi-spectral), multi-modal
perception & sensor fusion, and 3D reconstruction
and 3D feature extraction. PhD direction is multispectral
imaging.",
440,,,"Cyber vulnerability discovery and mitigation, software
security, cyber-mathematics, dynamic programming",
441,"I am a PhD student in Computer Science and Engineering.
I received my B.Sc. and M.Sc. degrees in Electrical
Engineering from the Amirkabir University of
Technology, Iran, in 2013 and 2016, respectively.
My research interests include power systems, distribution
network, renewable integration, active network
management. ",,,
444,"Robert Mahony is a Professor in the School of Engineering
at The Australian National University (ANU).
He received a PhD in 1995 (systems engineering)
and a BSc in 1989 (applied mathematics and geology)
both from The Australian National University. He
worked as a marine seismic geophysicist and an industrial
research scientist before completing a postdoctoral
fellowship in France and a Logan Fellowship
at Monash University in Australia. He has held
his post at ANU since 2001. His research interests
are in non-linear control theory with applications
in robotics, geometric optimisation techniques
and systems theory.",,"My main research interests are in non-linear systems
theory with applications in robotics, geometric
optimisation techniques and systems theory.",
447,"  -[2009-2013] Doctor of Philosophy, The Australian
National University, Canberra, Australia.    -[2007]
Master of Biomedical Engineering at Politecnico
di Milano, Milan, Italy (awarded cum laude).   
-[2005] Bachelor of Biomedical Engineering at Politecnico
di Milano, Milan, Italy (awarded cum laude).
  - [2019 - current] Lecturer - The Australian
National University, Canberra, Australia. - [2013-2019]
Adjunct Lecturer - The Australian National University,
Canberra, Australia. - [2014-2019] Biomedical
Engineer - Canberra Sleep Clinic    - [2008-2009]
R&D Engineer - Tre Esse Progettazione Biomedica,
Bologna, Italy.    - [2005-2006] Adjunct graduate
researcher (practicum role) at Ventracor Ltd.,
Chatswood, Australia and The University of New
South Wales, Sydney, Australia.    - [2004] Clinical
Engineering (internship role) at Ospedale San Raffaele,
Milan, Italy.    ",,"Modelling and robust control of the cardiovascular
system. Technology-assisted delivery of medicines.
Medical applications of engineering. Medical devices.
  ",
448,"I am currently pursuing my PhD studies at the School
of Computing, at the Australian National University.
My research work is focused on algorithms and
computational models related to metagenomics binning.Metagenomics
involves the study of various genetic
material obtained from the genomes found in microbial
communities. A microbial community such as
lake water or forest soil can contain a large number
of organisms. We need to identify the species
present in order to investigate the taxonomic structure
of a given metagenomic sample. Firstly, reads
are assembled into longer contigs which are then
binned into groups of contigs that belong to different
taxonomic groups present in the metagenomic
sample. Various reference-free contig-binning methods
have been proposed previously that make use of
composition and covergae information of the contigs.
However, the majority of these tools fail to
recover short contigs. As metagenomic contigs are
derived from assembling the reads, they are output
from the underlying assembly graph which holds valuable
connectivity information between contigs that
can be used for binning. My research work aims
to develop improved contig-binning tools that can
recover short contigs and bin the contigs accurately
with the help of assembly graphs. My supervisors
are  .   and  .",,,
455,"David Marshall has a cross-disciplinary background.
He earned a BA in Applied Psychology from Royal Roads
Military College in 1992, an MBA from Queens
University in 1999, and a Master of Information Technology
from the Australian National University in
2007. He has been developing software for 20 years,
including experience with a medical device company.
He also operated a medium-sized Canadian grain
farm.",,"Human-computer interaction (HCI), real-time interactive
visualisation, MR-guided hyperthermia, Proximity
Map Projection (PMP) I am currently analysing
the future needs of neurosurgeons and developing a
novel interactive visualisation for monitoring Real-Time
Image-Guided Remote Tissue Therapy. (A broad
category of minimally-invasive procedures that
destroy tumours, essentially, from the inside-out.)
I am currently analysing the future needs of neurosurgeons
and developing a novel interactive visualisation
for monitoring Real-Time Image-Guided Remote
Tissue Therapy. (A broad category of minimally-invasive
procedures that destroy tumours, essentially,
from the inside-out.)   Proximity Map Projection
(PMP) is an interactive visualisation technique
that is intended to help visualise treatment progression
data during (Real-Time) Image-Guided Remote
Tissue Therapy. Specific examples of such therapies
include: Laser Interstitial Thermal Therapy
(LITT); High Intensity Focussed Ultrasound (HIFU);
Radio-Frequency Ablation (RFA); and Stereotactic
Radiosurgery (SRS).",
457,"Charles Martin is a specialist in percussion, music
technology, and musical AI from Australia. He links
percussion with electroacoustic music and other
media through new technologies. He is the author
of musical iPad app, PhaseRings, and founded touchscreen
ensemble, Ensemble Metatone, percussion group,
Ensemble Evolution, and cross-artform group, Last
Man to Die. Charles’ doctoral research involved
developing intelligent agents that mediate ensemble
performance. Charles was a postdoctoral fellow
at the University of Oslo in the and the from 2016–2019
where he developed new ways to predict musical
intentions and performances in smartphone apps
and embedded devices. Charles is now lecturer in
computer science at the Australian National University.",,"My research work is at the nexus of music technology,
human-computer interaction and machine learning.
I'm convinced that we can use computing systems
to unlock new ways for people to be creative and enrich
our everyday lives with new kinds of music and
art. To do this, we need to imagine new kinds of
computers, including embedding computers into new
physical settings and to exploit machine learning
to allow these computer systems to understand and
interact with our complex creative activities. My
work involves: I'm available to supervise student
projects in computational creativity, creativity
support systems, music technology, and interactive
systems. I'm interested in creating and studying
new computing systems at the nexus of creative arts,
physical embodiment, interaction, and intelligence.
Projects could involve Get in touch if you would
like to work with me in these areas! I'm particularly
interested in supervising projects that involve
creating new computer systems and then testing
them in artistic application. (see below for ideas!)
 Here’s some project ideas that could be extended
or shaped to suit you: Most generative music
systems just create new music, this project would
involve training discriminator neural networks to
tell if music was created by a human, or a cutting
edge ANN such as   or  . This project involves
creating a sequence-to-sequence ANN that can generate
harmony, or counter-melodic parts for a given
melody. The focus here would be to deploy this network
in a music creating app such as  . The idea of
this project is to take an existing melody created
in an interactive music system and change its style,
or improve it in some way. It could involve
modifying the melody to fit a particular harmony,
or create a more appealing melodic shape. Various
sequence-to-sequence ANN techniques could be applied
here, and such a system could have applications
in musical performance and education. The idea of
generating digital audio directly from a neural network
is exciting and there are stunning results
from examples such as  ,  ,  , and  . Projects in
this area will involve finding new application areas
for neural audio generation and developing focussed
and fast algorithms with appropriate training
data for use in these areas. In particular, the use
of these networks for creative arts is still being
actively explored.  has a long history, but is
yet to break into mainstream music technology systems.
In this project, you will develop an interactive
music application (e.g., web or mobile app) for
generating and assessing music created using an
evolutionary algorithm. A novel approach might involve
the human user evaluating some generated sounds,
while others are analysed by an automatic system
using MIR techniques or a discriminator neural
network. The MDRNN is an exciting sequence model
that can generate multiple continuous valued signals
from a Gaussian mixture model at each step in time.
This project will involve applying and extending
my   into new applications in the creative arts
and beyond. We’ve tried using the MDRNN for voice
synthesis, motion capture data synthesis, and musical
control data synthesis, but there are lots of
other potential applications waiting for you to
discover, e.g.: predicting future sensor values, generating
robot movements, generating world models
for video games or real life situations etc.",
460,"I am a Lecturer at the Research School of Computer
Science, The Australian National University. Prior
to this, I held Hakubi Assistant Professorship at
Kyoto University. Prior to that, I did my D.Phil.
at the University of Oxford. I work on formal logic,
foundations of mathematics, category theory (esp.
categorical duality), foundations of artificial
intelligence and quantum physics, and philosophy
of all that. My background is rather interdisciplinary;
I learned both mathematical science and philosophy
at a transdisciplinary department of Kyoto
University. My ultimate goal (or just dream) is to
revive Natural Philosophy in contemporary form,
thus pursuing the Unity of Science in a way coherent
with Scientific Pluralism, which might possibly
contribute to the Unity of Society (whilst keeping
its Plurality or Diversity) as well. I like the
idea of Pancomputationalism, a computational theory
of everything (or every process in Nature); computer
science is arguably universal science, allowing
us to manoeuvre between different scientific fields.
",,,
463,,,sml program,
464,,,"I am active in a range of computer vision and vision
science projects. Current areas of interest include
(but are not limited to): surface segmentation
from stereo disparity/optical flow; bio-inspired
visual robot control; vision algorithms to support
navigation with low resolution/dynamic-range prosthetic
vision and low vision devices; mobility and
orientation assistance for the visually impaired
(and in particular, for a visual prosthesis).",
465,,,"Ultrasound simulation, GPU Computing, parallel computation,
AI and Law My research focus is on employing
novel architectures, such as GPUs, and FPGAs,
for computationally intensive tasks. I have applied
this to domains including computational chemistry
and ultrasound simulation. Modern computer systems
have become enormously powerful in terms of their
floating point and memory bandwidth performance.
However, harnessing this enormous computational
power in systems such as graphics processing units
(GPUs) is difficult. My research aim is to enable
programmers to more easily harness this computational
power particularly for scientific applications
such as ultrasound simulation. I currently teach
Computer Graphics and Operating System.",
467,,, ,
471,"Dr Chathurika Mediwaththe is a research fellow with
The School of Engineering and the Battery Storage
and Grid Integration Program at the Australian National
University. She obtained a PhD in Electrical
Engineering from the University of New South Wales,
Sydney, Australia and a BSc (Hons.) (1st class)
degree in Electrical and Electronics Engineering
from the University of Peradeniya, Sri Lanka. Her
research interests are in mathematical modelling,
optimisation and control, game theory, and data analysis
with applications in power systems including
distributed energy storage and renewable power
generation integration, electricity demand-side management,
and smart grids.  ",,"- Renewable energy generation and energy storage integration
- Electrified transportation systems - Microgrids
- Distribution networks - Power Systems
Engineering - Demand-side Management - Mathematical
modelling, optimisation, game theory, Artificial
Intelligence (AI) and machine learning   Iam looking
for PhD candidates who have research interests
in power systems and smart grid, including above
areas to support through the upcoming ANU PhD scholarship
rounds (both domestic and international rounds
will be conisdered). Interested applicants should
hold a 1st class Honours and/or Master's degree
in electrical engineering, computer science or
in a related discipline with a sufficient research
component and meet the ANU's English language requirements.For
more information, please see .   ",
472,,,Data mining in large scale,
478,"I am aLecturer and Research Fellow at the  . My mission
is to develop the tools and techniques that computational
scientists use to understand the world.",,"I am particularly interested in combining machine learning
and high-performance computing for physical
science. I also contribute to related efforts in
parallel programming models, resilience, and numerical
computing.",
480,"I am an engineer holding a Master's degree in Information
Technologies. It is a   interdisciplinary degree
covering electrical engineering and computer
science with a   major focus on communication systems,
data transmission in all kinds of networks as
  well as software development, and additional focus
on embedded systems and sensors. My former workexperience
includes: ",,,
483,"I'm a Phd student in Mathematical Logic under supervison
of Abbas Edalat and visiting ANU since March
2018 to colaborate with Dirk Pattinson on Domain
theory-Constructive Mathematics.",,"My research intrest is Computability and Complexity
theory in perespective of Recersion theory but I'd
like to work on application side as well. Moroever,
my tast changed towards Domain Theory and Computational
Analysis after working with Dirk Patinson
and Abbas Edalat. I'm highly motivated to work on
common land of Domain theory- Complexity Theory.",
484,"Feb 2015-Apr 2015 Researcher, Aalto University Mar
2014-Nov 2014 R&D Engineer, CSEM-UAE Innovation Center,
United Arab Emirates Sep 2013-Feb 2014 Erasmus
Exchange, Ecole Polytechnique Federale de Lausanne
(EPFL), Lausanne, Switzerland Aug 2012-Aug 2014
Master of Science, Sustainable Energy Engineering,
KTH Royal Institute of Technology, Stockholm, Sweden
Aug 2008-Apr 2012 Bachelor of Engineering, Anna
University, India",,"Concentrated Solar power, Thermal storage, Heat transfer,
Solar thermal, Polygeneration, Desalination
and Cooling",
491,"Jess manages operations for the Software Innovation
Institute at ANU. Previously, she served as a board
director for the YWCA of Canberra. She also has
a PhD in Astronomy and Astrophysics (Australian National
University).",,,
498,"Krishnan Murugappan (Krish) is a Research Fellow in
the School of Engineering and Computer Science working
on the Grand Challenge: Our Health in Our Hands
(OHIOH): Future Personalised Medical Technologies
for a Sustainable and Effective Healthcare. He
graduated with a BSc Hons in Nanotechnology and a
PhD from Curtin University (Perth, Australia). His
Phd was entitled, "" Electrochemical sensing of toxic
gases in room temperature ionic liquids"". He
then moved to the Department of Materials at the University
of Oxford (Oxford, UK) as a postdoctoral
research associate where he was working on chemiresistive
gas sensors for 3 years before joining ANU.",,"His research interests lies in the area of chemical
sensors paying particular attention to chemiresistive
and amperometric sensors",
501,,,"Machine Vision, Machine Learning",
502,"I am currently working as a PhD student at the Australian
National University, where the focus of my
research work is, Record Linkage of Complex Historical
Birth, Marriage, Death and Census Data. Record
linkage is the task of identifying records in a
dataset which relate to the same entity. It is an
important step in cleaning datasets (for duplicate
removal) and extensively used for tasks such as population
reconstruction. In the absence of unique
identifiers per records, a record linkage method
must be used to identify whether two records relate
to the same entity. This task is particularly complicated
for historic datasets due to the many mistakes
introduced to them at the time of data entry
and transcription. The Scottish dataset which I
am currently experimenting with is a typical example
for the challenges posed by historic datasets,
due to the errors in names, dates, the imbalance in
name distribution (many people sharing common names
and few very uncommon names), etc. My focus is
on developing scalable record linkage techniques
using which high quality historical record linkage
can be achieved. ",,,
506,"Yonhon was born in Penang, Malaysia. He completed his
Bachelor of Engineering (with First Class Honours
and University Medal) and Doctor of Philosophy
in Engineering from the Australian National University.
He is currently a Research Fellow in RSEEME,
Australian National University.",,"His current research interests include equivariant
observer, Bayesian estimator, visual odometry, simultaneous
localization and mapping (SLAM), optical
flow and radio-based localization.",
507,,,Signal Processing Microelectronic,
509,"Dr Nguyen received his bachelor degree in electrical
engineering from Portland State University, Oregon
in 2011 with a GPA of 3.97/4.0. From 2011 to early
2013, he was a product yield engineer at Intel
where he received the Intel Global Test Manufacturing
Group (TMG) Excellence award in Q4, 2012. In
12/2016, Dr Nguyen received his PhD in engineering
(photovoltaics) from the Australian National University
(ANU) under the supervision of Professor Daniel
Macdonald. In 2017, he was a visiting scientist
at  . Currently, Dr Nguyen is a senior research
fellow and senior lecturer at the ANU. He received
CECS's Dean Award for Excellence in Supervision
in 12/2018, was among the top four supervisors nominated
for Vice Chancellor's Award in the same category
in 02/2019, and received the ANU-wide recognition
 . He also received   in both individual and
course categories. The central idea of Dr Nguyen’s
research is to advance solar energy technologies
through knowledge and scientific discoveries and
technological inventions. His research spans from
the fundamental to the applied. His team explores
the fundamental properties of light-matter interactions
in solar energy materials and devices under
various conditions. The team works to uncover the
relationship between absorbed/emitted light and important
properties of the materials and devices, including
optical, electrical, chemical, and structural
properties. By exploiting these phenomena, the
team develops novel device concepts, advanced characterization
techniques, and defect engineering
routes with applications to renewable energy and material
science. His team's research has been featured
by over 100 media channels worldwide. He has
published   in various reputable journals. 10.Australian
Centre for Advanced Photovoltaics (ACAP) Infrastructure
Fund (2020), AUD$ 463k cash,co-chief
investigator (led by Tom White). 9.Australian Renewable
Energy Agency (ARENA) R&D Round 5 (2020-2022),AUD$
987k cash, lead chief investigator at ANU node
(co-lead with Tom White). 8.Australian Centre
for Advanced Photovoltaics (ACAP) Infrastructure Fund
(2020), AUD$ 630k cash, lead chief investigator.
7.ACAP Post-Doctoral Fellowship Round 3 (2020-2022),
AUD$ 280k cash,lead chief investigator. 6. ANU
Early Career Researcher Travel Grant (05/2019),AUD$3k
cash. 5. ANU National Institutes Grant (2019-2020),
AUD$ 500k cash,lead chief investigator (co-lead
with Daniel Macdonald). 4. ACAP Collaboration
Grant - Round 5 (2018-2020), AUD$ 58k cash,lead
chief investigator. 3. Australian Renewable Energy
Agency (ARENA) R&D Round 3 (2018-2021),AUD$ 3.43
milion cash, co-chief investigator (led by Daniel
Macdonald). 2. ACAP Post-Doctoral Fellowship (2018-2020),
AUD$ 410k cash,lead chief investigator. 1.
ACAP Collaboration Grant - Round 2 (2016-2017),
AUD$ 60k cash, co-chief investigator (led by Daniel
Macdonald). PhDs: Postdocs: Masters: Honors: Visitors:
I am continuously looking for talented and
motivated candidates to join my team. If you are looking
for 1) a world-leading institute in renewable
energy to host you and you have had a scholarship
sponsor; 2) research collaborations; 3) both admissions
and supporting scholarships (you will need
an outstanding academic/industry record); 4) any
other opportunities, please contact me directly.
These positions are available for all levels (Masters/PhDs/Post-docs).
Note that renewable energy research
is very interdisciplinary, hence candidates
from all science/engineering backgrounds (Electrical,
Chemical, Mechanical, Material, Chemistry, or
related disciplines) are welcome. Important: I don't
reply to mass emails and sloppy enquiries. Winter
2019, ANU. Left to right: Jessica Wu, Kang Ye,
Rajeev Premayogi, Zhongshu Yang, Rabin Basnet, Mike
Tebyetekerwa, Kilash Pyrke, Thien Truong, Hieu
Nguyen, SvenGerritsen, Zhuofeng Li, and Ary Wiboro
Group lunch, winter 2019, ANU.",,,
519,,,"Machine Learning, Privacy, Information Geometry",
520,"I received my PhD in 1999 from the University of Cambridge,
and was an undergraduate at Victoria University
of Wellington.",,"My research interests lie in the areas of formal methods,
interactive theorem proving (I am one of the
developers of the HOL4 system), and formal semantics
for complicated real-world systems. I am currently
involved in the Trustworthy Embedded Systems
project within NICTA's Software Systems research
group.",
523,,,"Formal semantics for UML and related modelling languages.
Making logic more understandable.",
527,,,"Machine learning, data fusion, open source software
I am interested in enabling scientific discovery
by extending statistical machine learning methods.
I am interested in enabling scientific discovery
by extending statistical machine learning methods.
In recent years, we have developed new optimization
methods for solving problems such as ranking, feature
selection and experimental design, with the
aim of solving scientific questions in collaboration
with experts in other fields. This has included
diverse problems in genomics, systems biology, and
medical imaging. I am also interested in open source
software and reproducible research in the context
of machine learning. We are advocating this
via a JMLR special track, as well as the community
sites mloss.org and mldata.org.",
528,,,"III-V solar cells  Silicon solar cells  Tandem solar
cells  Tandem solar modules  Cell-to-module (CTM)
analysis  Sunlight measurement, modelling, analysis",
543,,,"My research interests lie on the following areas: If
you are looking for research projects, check my
latest papers on DBLP and/or email me.",
544,"Currently, I am a student at Australian National University
attached to Research School of Computer Science,
ANU College of Engineering & Computer Science
.I am also a PhD researcher at Commonwealth Scientific
and Industrial Research Organisation (CSIRO),
Information and Communication Technologies Centre,
ACT canberra.",,"Internet of Things, Sensor Networks, Context-awareness,
Semantic Web Technology, Intelligent Systems,
Artificial Intelligence, Mobile and Pervasive Computing",
547,      ,,"    Professor Petersen's primary area of research interest
is in the fields of Systems and Control and
in particular in the area of Robust Control Theory.
Within the area of systems and control theory,
his particular research interests have been as follows:
  A component of his research has involved
applying control theory and in particular robust control
theory to engineering applications. These applications
have included:  ",
549,,,"Topic of Thesis: Nonparametric graphical models for
image understanding.",
556,,,"My current research focuses on the use of unmanned
aerial vehicles (UAVs) for the large scale atmospheric
monitoring of carbon capture and and storage
(CCS) sites. My contributions to this field are",
557,"Dr  is Official Secretary (CEO) to the  .  He is also
a member of the  . James was previously Official
Secretary (CEO) to the  .  He was also the inaugural
 , and a Senior Member of the  .  Before that,
James worked for 12 years in the  .  Before joining
AGD, he was a judge's associate, then Deputy Registrar
of the  . James has degrees in law and arts,
and is admitted as a barrister and a solicitor.
 He is also an Honorary Professor of the Australian
National University (in the   and the  ) where
he conducted his doctoral research in artificial
intelligence and law.",,,
