Tags,value
normative theory,DIVISION 24 OTHERS(IRRELEVANT)
social theory,DIVISION 16 STUDIES IN HUMAN SOCIETY
industrial design,DIVISION 09 ENGINEERING
language policy,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
case management,DIVISION 23 OTHERS(RELEVANT)
immunization,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
political participation,DIVISION 16 STUDIES IN HUMAN SOCIETY
macular degeneration,DIVISION 11 MEDICAL AND HEALTH SCIENCES
economic geography,DIVISION 14 ECONOMICS
flexibility,DIVISION 24 OTHERS(IRRELEVANT)
student teacher,DIVISION 13 EDUCATION
relationship commitment,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
fatigue of materials,DIVISION 09 ENGINEERING
environmental health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
retirement age,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
diary,DIVISION 11 MEDICAL AND HEALTH SCIENCES
environmental factors,DIVISION 23 OTHERS(RELEVANT)
chronic pain,DIVISION 11 MEDICAL AND HEALTH SCIENCES
income poverty,DIVISION 16 STUDIES IN HUMAN SOCIETY
venous thromboembolism,DIVISION 11 MEDICAL AND HEALTH SCIENCES
currency,DIVISION 14 ECONOMICS
epidemiology,DIVISION 11 MEDICAL AND HEALTH SCIENCES
interoperability,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
controllers,DIVISION 09 ENGINEERING
minerals,DIVISION 04 EARTH SCIENCES
carbon monoxide,DIVISION 03 CHEMICAL SCIENCES
measuring,DIVISION 24 OTHERS(IRRELEVANT)
automobiles,DIVISION 09 ENGINEERING
cyber physical system,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
soils,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
sales,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
social environment,DIVISION 16 STUDIES IN HUMAN SOCIETY
iraq,DIVISION 24 OTHERS(IRRELEVANT)
positioning,DIVISION 23 OTHERS(RELEVANT)
firm,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
predators,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
school education,DIVISION 13 EDUCATION
antennas,DIVISION 10 TECHNOLOGY
skills,DIVISION 24 OTHERS(IRRELEVANT)
respect,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
delivery of health care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
incubation,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
retapamulin,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nutrition policy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
psychology student,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
constructivism,DIVISION 24 OTHERS(IRRELEVANT)
political attitude,DIVISION 16 STUDIES IN HUMAN SOCIETY
resistance training,DIVISION 11 MEDICAL AND HEALTH SCIENCES
family business,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
health practitioners,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nursing models,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tensors,DIVISION 01 MATHEMATICAL SCIENCES
disease management,DIVISION 11 MEDICAL AND HEALTH SCIENCES
acceleration,DIVISION 02 PHYSICAL SCIENCES
microsimulation,DIVISION 23 OTHERS(RELEVANT)
intention,DIVISION 24 OTHERS(IRRELEVANT)
sports science,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pediatrics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
information modeling,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
mucosal immunity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
time,DIVISION 24 OTHERS(IRRELEVANT)
occupational health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
meals,DIVISION 11 MEDICAL AND HEALTH SCIENCES
glycohemoglobin,DIVISION 11 MEDICAL AND HEALTH SCIENCES
confusion,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mitochondrial genome,DIVISION 06 BIOLOGICAL SCIENCES
hospitalization,DIVISION 11 MEDICAL AND HEALTH SCIENCES
body weight,DIVISION 11 MEDICAL AND HEALTH SCIENCES
iron,DIVISION 04 EARTH SCIENCES
interpersonal relations,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
eye,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social inequality,DIVISION 16 STUDIES IN HUMAN SOCIETY
blood platelets,DIVISION 11 MEDICAL AND HEALTH SCIENCES
older people,DIVISION 11 MEDICAL AND HEALTH SCIENCES
administrative personnel,DIVISION 16 STUDIES IN HUMAN SOCIETY
clinical practice,DIVISION 11 MEDICAL AND HEALTH SCIENCES
curriculum development,DIVISION 13 EDUCATION
cultural difference,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
qualitative study,DIVISION 23 OTHERS(RELEVANT)
dialect,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
acetaminophen,DIVISION 11 MEDICAL AND HEALTH SCIENCES
privilege,DIVISION 16 STUDIES IN HUMAN SOCIETY
public administration,DIVISION 16 STUDIES IN HUMAN SOCIETY
drying,DIVISION 05 ENVIRONMENTAL SCIENCES
heart,DIVISION 11 MEDICAL AND HEALTH SCIENCES
parastacidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
regulation,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
linkage,DIVISION 06 BIOLOGICAL SCIENCES
organic carbon,DIVISION 03 CHEMICAL SCIENCES
fruit,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
emergency,DIVISION 11 MEDICAL AND HEALTH SCIENCES
electroencephalography,DIVISION 11 MEDICAL AND HEALTH SCIENCES
interferons,DIVISION 11 MEDICAL AND HEALTH SCIENCES
friendship,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
public services,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
profession,DIVISION 24 OTHERS(IRRELEVANT)
confidence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
invertebrate,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
travel,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
resource management,DIVISION 05 ENVIRONMENTAL SCIENCES
olympic games,DIVISION 23 OTHERS(RELEVANT)
noise,DIVISION 02 PHYSICAL SCIENCES
muslims,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
weight gain,DIVISION 11 MEDICAL AND HEALTH SCIENCES
alcohol drinking,DIVISION 11 MEDICAL AND HEALTH SCIENCES
criminal justice,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
mythology,DIVISION 21 HISTORY AND ARCHAEOLOGY
airport,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
communicable diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
community engagement,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
classifiers,DIVISION 24 OTHERS(IRRELEVANT)
habitats,DIVISION 05 ENVIRONMENTAL SCIENCES
confidence intervals,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
river system,DIVISION 04 EARTH SCIENCES
modernity,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
community service,DIVISION 16 STUDIES IN HUMAN SOCIETY
electric impedance,DIVISION 02 PHYSICAL SCIENCES
unemployment,DIVISION 16 STUDIES IN HUMAN SOCIETY
mouth,DIVISION 11 MEDICAL AND HEALTH SCIENCES
visual fields,DIVISION 02 PHYSICAL SCIENCES
hospital costs,DIVISION 11 MEDICAL AND HEALTH SCIENCES
rural area,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
public-private partnerships,DIVISION 16 STUDIES IN HUMAN SOCIETY
suppliers,DIVISION 09 ENGINEERING
cognitive ability,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health status,DIVISION 11 MEDICAL AND HEALTH SCIENCES
lung neoplasms,DIVISION 11 MEDICAL AND HEALTH SCIENCES
punishment,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
price,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
ligaments,DIVISION 11 MEDICAL AND HEALTH SCIENCES
carbon sequestration,DIVISION 03 CHEMICAL SCIENCES
electric network analysis,DIVISION 10 TECHNOLOGY
invasive species,DIVISION 05 ENVIRONMENTAL SCIENCES
gray matter,DIVISION 11 MEDICAL AND HEALTH SCIENCES
levodopa drug combination carbidopa,DIVISION 11 MEDICAL AND HEALTH SCIENCES
rocks,DIVISION 04 EARTH SCIENCES
social skills,DIVISION 16 STUDIES IN HUMAN SOCIETY
metabolic syndrome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
water scarcity,DIVISION 05 ENVIRONMENTAL SCIENCES
design,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
software defined networking,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
trace elements,DIVISION 11 MEDICAL AND HEALTH SCIENCES
financial data,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
city,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
teacher training,DIVISION 13 EDUCATION
karyotype,DIVISION 06 BIOLOGICAL SCIENCES
city planning,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
zinc,DIVISION 03 CHEMICAL SCIENCES
behavioral sciences,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
bivalve,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
rural population,DIVISION 16 STUDIES IN HUMAN SOCIETY
smart city,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
open source,DIVISION 23 OTHERS(RELEVANT)
home range,DIVISION 24 OTHERS(IRRELEVANT)
motor vehicles,DIVISION 09 ENGINEERING
mountain,DIVISION 04 EARTH SCIENCES
pharmaceutical preparations,DIVISION 11 MEDICAL AND HEALTH SCIENCES
protected area,DIVISION 05 ENVIRONMENTAL SCIENCES
coverage,DIVISION 24 OTHERS(IRRELEVANT)
plant community,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
neighboring countries,DIVISION 23 OTHERS(RELEVANT)
town,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
speaking,DIVISION 13 EDUCATION
discrimination (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
intercultural communication,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
moral philosophy,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
alliances,DIVISION 24 OTHERS(IRRELEVANT)
occupation,DIVISION 16 STUDIES IN HUMAN SOCIETY
banking sector,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
occupations,DIVISION 16 STUDIES IN HUMAN SOCIETY
global climate,DIVISION 05 ENVIRONMENTAL SCIENCES
holistic approach,DIVISION 23 OTHERS(RELEVANT)
development project,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
public management,DIVISION 16 STUDIES IN HUMAN SOCIETY
vaccination,DIVISION 11 MEDICAL AND HEALTH SCIENCES
middle aged,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pragmatics,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
social psychology,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
anti-inflammatory agents,DIVISION 11 MEDICAL AND HEALTH SCIENCES
signal-to-noise ratio,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
website,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
exploitation,DIVISION 05 ENVIRONMENTAL SCIENCES
genetic algorithms,DIVISION 06 BIOLOGICAL SCIENCES
museums,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
horses,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
electric vehicles,DIVISION 09 ENGINEERING
statistical methods,DIVISION 09 ENGINEERING
social network,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
residential areas,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
influence,DIVISION 24 OTHERS(IRRELEVANT)
technology,DIVISION 24 OTHERS(IRRELEVANT)
location factors,DIVISION 24 OTHERS(IRRELEVANT)
blockchain,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
health services research,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hygiene,DIVISION 11 MEDICAL AND HEALTH SCIENCES
worldview,DIVISION 16 STUDIES IN HUMAN SOCIETY
social cohesion,DIVISION 16 STUDIES IN HUMAN SOCIETY
climate change adaptation,DIVISION 05 ENVIRONMENTAL SCIENCES
polymerase chain reaction,DIVISION 06 BIOLOGICAL SCIENCES
legal status,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
demand,DIVISION 24 OTHERS(IRRELEVANT)
observation,DIVISION 24 OTHERS(IRRELEVANT)
vacation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
substitution,DIVISION 24 OTHERS(IRRELEVANT)
physical functional performance,DIVISION 06 BIOLOGICAL SCIENCES
health care professionals,DIVISION 11 MEDICAL AND HEALTH SCIENCES
lactic acid,DIVISION 03 CHEMICAL SCIENCES
industrial designs,DIVISION 09 ENGINEERING
coronary disease,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tourism research,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
myocardial ischemia,DIVISION 11 MEDICAL AND HEALTH SCIENCES
supervision,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
action research,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
chickens,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
macros,DIVISION 24 OTHERS(IRRELEVANT)
suicidal ideation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
counseling,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
detection,DIVISION 11 MEDICAL AND HEALTH SCIENCES
smoking cessation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
goods,DIVISION 09 ENGINEERING
perches,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
democratic theory,DIVISION 16 STUDIES IN HUMAN SOCIETY
incivility,DIVISION 23 OTHERS(RELEVANT)
financial markets,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
migrant,DIVISION 16 STUDIES IN HUMAN SOCIETY
imaging techniques,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
cryptography,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
sex characteristics,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
catchment,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
psychological stress,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
expert,DIVISION 23 OTHERS(RELEVANT)
producer,DIVISION 23 OTHERS(RELEVANT)
elasticity,DIVISION 23 OTHERS(RELEVANT)
green tea,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
peers,DIVISION 16 STUDIES IN HUMAN SOCIETY
vitamin b complex,DIVISION 11 MEDICAL AND HEALTH SCIENCES
income,DIVISION 14 ECONOMICS
canopy,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
repetitive sequences,DIVISION 06 BIOLOGICAL SCIENCES
fatty acid-binding proteins,DIVISION 06 BIOLOGICAL SCIENCES
sports medicine,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ecosystem services,DIVISION 05 ENVIRONMENTAL SCIENCES
jordan,DIVISION 24 OTHERS(IRRELEVANT)
public participation,DIVISION 16 STUDIES IN HUMAN SOCIETY
logistics,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
unesco,DIVISION 23 OTHERS(RELEVANT)
decapoda,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
group homes,DIVISION 24 OTHERS(IRRELEVANT)
masks,DIVISION 10 TECHNOLOGY
medical imaging,DIVISION 11 MEDICAL AND HEALTH SCIENCES
recurrent neural networks,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
cancer survivors,DIVISION 11 MEDICAL AND HEALTH SCIENCES
communications,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
costs and cost analysis,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
reform,DIVISION 24 OTHERS(IRRELEVANT)
labour party,DIVISION 16 STUDIES IN HUMAN SOCIETY
sediment,DIVISION 04 EARTH SCIENCES
frogs,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
trial,DIVISION 11 MEDICAL AND HEALTH SCIENCES
manuka honey,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
first world war,DIVISION 21 HISTORY AND ARCHAEOLOGY
parliament,DIVISION 16 STUDIES IN HUMAN SOCIETY
sensory properties,DIVISION 11 MEDICAL AND HEALTH SCIENCES
biometrics,DIVISION 06 BIOLOGICAL SCIENCES
papua-new guinea,DIVISION 24 OTHERS(IRRELEVANT)
mental health support,DIVISION 11 MEDICAL AND HEALTH SCIENCES
acupuncture,DIVISION 11 MEDICAL AND HEALTH SCIENCES
quantitative method,DIVISION 23 OTHERS(RELEVANT)
first nations,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
pluralism,DIVISION 23 OTHERS(RELEVANT)
accused,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
wireless networks,DIVISION 10 TECHNOLOGY
emotion recognition,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
blood vessels,DIVISION 11 MEDICAL AND HEALTH SCIENCES
cross-sectional study,DIVISION 23 OTHERS(RELEVANT)
fishes,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
scotland,DIVISION 24 OTHERS(IRRELEVANT)
exegesis,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
multivariate analysis,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
chelidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
sex determination processes,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
fusion reactions,DIVISION 02 PHYSICAL SCIENCES
hemoglobins,DIVISION 11 MEDICAL AND HEALTH SCIENCES
common cold,DIVISION 11 MEDICAL AND HEALTH SCIENCES
prediabetic state,DIVISION 11 MEDICAL AND HEALTH SCIENCES
compassion fatigue,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
scandal,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
social economics,DIVISION 14 ECONOMICS
lenses,DIVISION 11 MEDICAL AND HEALTH SCIENCES
instruction,DIVISION 24 OTHERS(IRRELEVANT)
adaptive boosting,DIVISION 09 ENGINEERING
economic impact,DIVISION 14 ECONOMICS
oxygen consumption,DIVISION 04 EARTH SCIENCES
guidelines,DIVISION 24 OTHERS(IRRELEVANT)
dismissal,DIVISION 16 STUDIES IN HUMAN SOCIETY
reuse,DIVISION 05 ENVIRONMENTAL SCIENCES
compliance,DIVISION 24 OTHERS(IRRELEVANT)
social value,DIVISION 16 STUDIES IN HUMAN SOCIETY
interest group,DIVISION 24 OTHERS(IRRELEVANT)
household income,DIVISION 14 ECONOMICS
south australia,DIVISION 24 OTHERS(IRRELEVANT)
medication,DIVISION 11 MEDICAL AND HEALTH SCIENCES
quadriceps muscle,DIVISION 11 MEDICAL AND HEALTH SCIENCES
breast,DIVISION 11 MEDICAL AND HEALTH SCIENCES
serogroup,DIVISION 06 BIOLOGICAL SCIENCES
episode of care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
light,DIVISION 02 PHYSICAL SCIENCES
fee,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
agricultural development,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
letters,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
nutrient,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
fires,DIVISION 05 ENVIRONMENTAL SCIENCES
lead,DIVISION 16 STUDIES IN HUMAN SOCIETY
diabetes mellitus,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social movements,DIVISION 16 STUDIES IN HUMAN SOCIETY
capital city,DIVISION 16 STUDIES IN HUMAN SOCIETY
coronavirus,DIVISION 11 MEDICAL AND HEALTH SCIENCES
threatened species,DIVISION 05 ENVIRONMENTAL SCIENCES
serum,DIVISION 11 MEDICAL AND HEALTH SCIENCES
humulus,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
radio access networks,DIVISION 10 TECHNOLOGY
nurse,DIVISION 11 MEDICAL AND HEALTH SCIENCES
logistic models,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
attention capture,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
empirical evidence,DIVISION 23 OTHERS(RELEVANT)
doctrine,DIVISION 16 STUDIES IN HUMAN SOCIETY
political behavior,DIVISION 16 STUDIES IN HUMAN SOCIETY
consultation,DIVISION 24 OTHERS(IRRELEVANT)
market,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
high court,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
recreation,DIVISION 16 STUDIES IN HUMAN SOCIETY
tropical diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
population decline,DIVISION 16 STUDIES IN HUMAN SOCIETY
infant health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
antarctica,DIVISION 04 EARTH SCIENCES
lactation,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
post-traumatic stress disorders,DIVISION 11 MEDICAL AND HEALTH SCIENCES
altruism,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
rating,DIVISION 14 ECONOMICS
demography,DIVISION 16 STUDIES IN HUMAN SOCIETY
secondary school,DIVISION 13 EDUCATION
alternative models,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
vision system,DIVISION 09 ENGINEERING
basal metabolism,DIVISION 11 MEDICAL AND HEALTH SCIENCES
harbor,DIVISION 04 EARTH SCIENCES
empirical research,DIVISION 23 OTHERS(RELEVANT)
authentication,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
spine,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mothers,DIVISION 11 MEDICAL AND HEALTH SCIENCES
evolutionary algorithms,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
image processing,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
biota,DIVISION 04 EARTH SCIENCES
snails,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
patient reported outcome measures,DIVISION 11 MEDICAL AND HEALTH SCIENCES
child protection,DIVISION 11 MEDICAL AND HEALTH SCIENCES
leadership,DIVISION 16 STUDIES IN HUMAN SOCIETY
ergometry,DIVISION 11 MEDICAL AND HEALTH SCIENCES
upper extremity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
athletic injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES
construction project,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
policy responses,DIVISION 16 STUDIES IN HUMAN SOCIETY
data mining,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
case studies,DIVISION 23 OTHERS(RELEVANT)
brain computer interface,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
drug therapy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ethics committee,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
mental fatigue,DIVISION 11 MEDICAL AND HEALTH SCIENCES
species recruitment,DIVISION 05 ENVIRONMENTAL SCIENCES
insect,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
vitamin b 12,DIVISION 11 MEDICAL AND HEALTH SCIENCES
type 1 diabetes mellitus,DIVISION 11 MEDICAL AND HEALTH SCIENCES
recommender systems,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
flooding,DIVISION 05 ENVIRONMENTAL SCIENCES
perth,DIVISION 24 OTHERS(IRRELEVANT)
pathologists,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
tea,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
destination,DIVISION 24 OTHERS(IRRELEVANT)
nursing home,DIVISION 11 MEDICAL AND HEALTH SCIENCES
cooperation,DIVISION 16 STUDIES IN HUMAN SOCIETY
immigration,DIVISION 16 STUDIES IN HUMAN SOCIETY
deep neural networks,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
hand,DIVISION 11 MEDICAL AND HEALTH SCIENCES
auckland,DIVISION 24 OTHERS(IRRELEVANT)
functional food,DIVISION 11 MEDICAL AND HEALTH SCIENCES
homes for the aged,DIVISION 11 MEDICAL AND HEALTH SCIENCES
asia,DIVISION 24 OTHERS(IRRELEVANT)
reporter,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
metabolism,DIVISION 06 BIOLOGICAL SCIENCES
swimming,DIVISION 24 OTHERS(IRRELEVANT)
point-of-care testing,DIVISION 11 MEDICAL AND HEALTH SCIENCES
retrospective studies,DIVISION 23 OTHERS(RELEVANT)
reporting system,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
cations,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
import,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
architect,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
colorectal neoplasms,DIVISION 11 MEDICAL AND HEALTH SCIENCES
candidacy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
autistic disorder,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tokyo,DIVISION 24 OTHERS(IRRELEVANT)
narrative,DIVISION 23 OTHERS(RELEVANT)
organization,DIVISION 24 OTHERS(IRRELEVANT)
data structures,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
forest industries,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
bone and bones,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacy students,DIVISION 11 MEDICAL AND HEALTH SCIENCES
waist-height ratio,DIVISION 11 MEDICAL AND HEALTH SCIENCES
broadcaster,DIVISION 10 TECHNOLOGY
endophenotypes,DIVISION 11 MEDICAL AND HEALTH SCIENCES
group,DIVISION 24 OTHERS(IRRELEVANT)
transaction,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
labor force,DIVISION 16 STUDIES IN HUMAN SOCIETY
dialogue,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
accreditation,DIVISION 09 ENGINEERING
finishing,DIVISION 24 OTHERS(IRRELEVANT)
health literacy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social distance,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
transition economics,DIVISION 14 ECONOMICS
public,DIVISION 16 STUDIES IN HUMAN SOCIETY
federal republic of germany,DIVISION 24 OTHERS(IRRELEVANT)
nutritionists,DIVISION 11 MEDICAL AND HEALTH SCIENCES
patient rehabilitation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social research,DIVISION 16 STUDIES IN HUMAN SOCIETY
clergy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tendinopathy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
resident,DIVISION 11 MEDICAL AND HEALTH SCIENCES
storytelling,DIVISION 23 OTHERS(RELEVANT)
acute coronary syndrome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
irrigation,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
library science,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
cell phone use,DIVISION 10 TECHNOLOGY
sustainable development goal,DIVISION 05 ENVIRONMENTAL SCIENCES
information system,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
